weather_observation_id,station_name,state,latitude,longitude,crs,measurement_timestamp,rainfall_mm,rainfall_intensity_mm_hr,temperature_c,relative_humidity_pct,wind_speed_mps,surface_pressure_hpa,river_level_m,river_discharge_m3s,forecast_river_level_m,flood_alert_level,data_source,data_status
IN-WX-0030,Gaya,Bihar,24.789355,84.993436,EPSG:4326,2025-06-01 00:00:00,2.17,0.18,24.2,50.3,4.11,990.5,4.06,371.05,4.07,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0031,Agra,Uttar Pradesh,27.170391,78.015474,EPSG:4326,2025-06-01 00:00:00,21.79,0.92,28.2,59.7,8.82,1004.0,9.81,767.72,9.6,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0032,Gandhinagar,Gujarat,23.21186,72.639033,EPSG:4326,2025-06-01 00:00:00,23.3,1.22,33.1,76.1,6.91,1019.1,8.29,581.91,8.52,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0033,Delhi,Delhi,28.622824,77.214158,EPSG:4326,2025-06-02 00:00:00,6.58,0.57,14.6,60.2,7.05,990.2,4.47,172.82,4.3,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0034,Mumbai,Maharashtra,19.085479,72.881193,EPSG:4326,2025-06-02 00:00:00,12.04,0.75,19.4,46.2,1.44,990.1,4.24,100.68,4.41,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0035,Pune,Maharashtra,18.513297,73.861584,EPSG:4326,2025-06-02 00:00:00,6.84,0.41,31.3,81.1,9.92,991.5,4.65,99.87,4.82,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0036,Nagpur,Maharashtra,21.151166,79.092347,EPSG:4326,2025-06-02 00:00:00,20.63,2.79,33.3,72.1,7.9,991.8,5.09,387.36,5.29,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0037,Ahmedabad,Gujarat,23.030742,72.569478,EPSG:4326,2025-06-02 00:00:00,12.63,1.97,13.9,52.2,6.61,994.0,8.95,433.51,9.02,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0038,Surat,Gujarat,21.174489,72.828772,EPSG:4326,2025-06-02 00:00:00,6.85,0.92,12.1,85.2,6.25,1005.8,6.79,368.16,6.92,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0039,Jaipur,Rajasthan,26.905802,75.77989,EPSG:4326,2025-06-02 00:00:00,15.38,0.69,12.7,90.2,13.88,1010.1,4.77,296.64,4.48,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0040,Lucknow,Uttar Pradesh,26.853457,80.942711,EPSG:4326,2025-06-02 00:00:00,8.39,0.38,32.3,91.1,0.57,1005.3,6.47,380.56,6.41,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0041,Varanasi,Uttar Pradesh,25.32746,82.982361,EPSG:4326,2025-06-02 00:00:00,6.28,0.33,27.8,55.5,10.11,996.1,4.31,267.75,4.35,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0042,Patna,Bihar,25.58917,85.132496,EPSG:4326,2025-06-02 00:00:00,9.04,0.47,28.0,88.4,1.9,1006.0,3.29,339.41,3.36,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0043,Kolkata,West Bengal,22.57422,88.362974,EPSG:4326,2025-06-02 00:00:00,5.08,0.38,26.9,58.5,6.04,1017.6,2.18,211.65,1.9,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0044,Guwahati,Assam,26.14262,91.740915,EPSG:4326,2025-06-02 00:00:00,17.0,0.77,19.1,87.0,4.84,1019.5,8.56,821.08,8.65,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0045,Bhubaneswar,Odisha,20.28954,85.829292,EPSG:4326,2025-06-02 00:00:00,22.54,1.24,31.6,93.6,10.74,1005.9,9.5,734.87,9.61,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0046,Ranchi,Jharkhand,23.348829,85.30943,EPSG:4326,2025-06-02 00:00:00,2.21,0.12,31.9,77.3,10.79,1005.8,5.33,664.65,5.35,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0047,Bhopal,Madhya Pradesh,23.268441,77.420517,EPSG:4326,2025-06-02 00:00:00,9.7,0.88,16.4,45.9,5.03,999.3,3.86,259.0,3.84,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0048,Indore,Madhya Pradesh,22.723281,75.85298,EPSG:4326,2025-06-02 00:00:00,3.07,0.2,34.6,56.1,7.26,994.6,3.26,165.01,3.31,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0049,Raipur,Chhattisgarh,21.244518,81.636792,EPSG:4326,2025-06-02 00:00:00,14.8,1.73,27.8,81.4,10.25,993.5,5.09,104.16,4.82,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0050,Hyderabad,Telangana,17.386481,78.490354,EPSG:4326,2025-06-02 00:00:00,8.39,1.47,17.3,53.2,13.81,1005.1,1.58,110.38,1.31,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0051,Bengaluru,Karnataka,12.965921,77.588297,EPSG:4326,2025-06-02 00:00:00,4.35,0.36,30.2,79.3,0.52,1001.6,1.4,50.91,1.3,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0052,Mysuru,Karnataka,12.29176,76.633432,EPSG:4326,2025-06-02 00:00:00,4.22,1.05,13.1,66.5,6.69,1011.6,6.27,175.49,5.98,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0053,Chennai,Tamil Nadu,13.075143,80.269986,EPSG:4326,2025-06-02 00:00:00,29.83,5.6,30.0,71.8,6.08,991.1,9.61,1209.9,9.51,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0054,Coimbatore,Tamil Nadu,11.022598,76.963751,EPSG:4326,2025-06-02 00:00:00,6.53,0.32,27.0,72.2,9.15,1001.6,2.05,247.71,2.0,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0055,Kochi,Kerala,9.931281,76.263333,EPSG:4326,2025-06-02 00:00:00,12.8,0.77,15.1,76.8,0.63,998.9,5.31,608.88,5.57,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0056,Thiruvananthapuram,Kerala,8.526834,76.937983,EPSG:4326,2025-06-02 00:00:00,14.15,0.87,33.9,94.6,9.12,1019.0,8.51,1019.02,8.6,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0057,Vijayawada,Andhra Pradesh,16.506931,80.655023,EPSG:4326,2025-06-02 00:00:00,3.95,0.29,19.7,62.2,6.05,1004.2,2.86,361.72,2.58,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0058,Visakhapatnam,Andhra Pradesh,17.687033,83.217755,EPSG:4326,2025-06-02 00:00:00,4.83,0.49,31.7,83.0,3.27,993.2,1.64,130.9,1.63,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0059,Srinagar,Jammu and Kashmir,34.080409,74.797527,EPSG:4326,2025-06-02 00:00:00,6.89,0.68,34.5,84.5,7.48,1007.8,5.61,202.5,5.4,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0060,Shimla,Himachal Pradesh,31.107954,77.171032,EPSG:4326,2025-06-02 00:00:00,2.89,0.22,21.5,57.6,2.95,994.0,3.24,215.09,3.51,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0061,Dehradun,Uttarakhand,30.312649,78.041215,EPSG:4326,2025-06-02 00:00:00,6.55,1.0,23.3,78.9,1.26,994.0,7.53,793.33,7.46,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0062,Gaya,Bihar,24.787586,85.003205,EPSG:4326,2025-06-02 00:00:00,15.46,4.05,15.3,86.1,10.74,1016.8,8.75,399.83,8.78,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0063,Agra,Uttar Pradesh,27.168796,78.013268,EPSG:4326,2025-06-02 00:00:00,5.02,0.26,36.0,86.5,13.92,1015.3,9.61,1232.85,9.49,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0064,Gandhinagar,Gujarat,23.223203,72.633608,EPSG:4326,2025-06-02 00:00:00,1.86,0.23,13.3,71.1,9.32,1005.8,10.39,472.04,10.55,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0065,Delhi,Delhi,28.621964,77.204997,EPSG:4326,2025-06-03 00:00:00,4.09,0.2,20.5,96.9,8.93,990.5,2.17,246.33,2.05,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0066,Mumbai,Maharashtra,19.069209,72.882646,EPSG:4326,2025-06-03 00:00:00,10.5,1.03,24.2,52.8,7.27,1008.1,1.69,52.49,1.49,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0067,Pune,Maharashtra,18.518111,73.848819,EPSG:4326,2025-06-03 00:00:00,9.35,1.5,29.5,54.8,6.33,1019.1,1.36,174.07,1.13,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0068,Nagpur,Maharashtra,21.155788,79.082367,EPSG:4326,2025-06-03 00:00:00,8.68,0.91,34.5,61.7,10.97,1009.1,1.45,167.77,1.2,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0069,Ahmedabad,Gujarat,23.021645,72.569876,EPSG:4326,2025-06-03 00:00:00,0.42,0.09,28.5,94.4,13.3,1015.1,5.4,114.17,5.36,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0070,Surat,Gujarat,21.173553,72.822173,EPSG:4326,2025-06-03 00:00:00,2.34,0.65,24.6,95.7,12.92,1013.1,2.85,330.95,2.8,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0071,Jaipur,Rajasthan,26.905597,75.77824,EPSG:4326,2025-06-03 00:00:00,8.78,1.6,19.3,52.6,4.8,993.3,4.28,104.83,4.4,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0072,Lucknow,Uttar Pradesh,26.844008,80.948275,EPSG:4326,2025-06-03 00:00:00,9.83,1.77,23.1,74.4,4.7,1010.0,8.0,606.98,8.05,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0073,Varanasi,Uttar Pradesh,25.324795,82.968879,EPSG:4326,2025-06-03 00:00:00,0.86,0.2,23.7,66.7,6.97,1015.1,8.15,175.95,8.03,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0074,Patna,Bihar,25.599176,85.140939,EPSG:4326,2025-06-03 00:00:00,10.82,1.18,18.7,64.2,7.16,998.0,2.8,198.17,2.72,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0075,Kolkata,West Bengal,22.563112,88.360057,EPSG:4326,2025-06-03 00:00:00,13.39,1.97,31.9,64.2,9.47,1012.3,8.43,251.65,8.39,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0076,Guwahati,Assam,26.154453,91.74524,EPSG:4326,2025-06-03 00:00:00,12.0,0.62,13.6,56.0,4.17,996.4,4.92,613.69,4.67,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0077,Bhubaneswar,Odisha,20.296801,85.828392,EPSG:4326,2025-06-03 00:00:00,13.47,3.53,24.9,54.4,3.15,1005.4,6.59,414.84,6.48,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0078,Ranchi,Jharkhand,23.340314,85.311605,EPSG:4326,2025-06-03 00:00:00,4.72,0.39,32.9,59.7,6.08,993.9,3.79,210.98,4.08,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0079,Bhopal,Madhya Pradesh,23.258149,77.402695,EPSG:4326,2025-06-03 00:00:00,20.81,0.95,20.3,50.1,2.24,1011.6,4.07,471.62,3.84,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0080,Indore,Madhya Pradesh,22.723333,75.866633,EPSG:4326,2025-06-03 00:00:00,17.04,2.46,19.6,89.9,2.48,1019.6,9.24,284.99,9.51,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0081,Raipur,Chhattisgarh,21.251376,81.623068,EPSG:4326,2025-06-03 00:00:00,30.39,3.0,21.9,47.9,3.69,1014.6,5.44,198.67,5.29,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0082,Hyderabad,Telangana,17.381414,78.488388,EPSG:4326,2025-06-03 00:00:00,10.92,0.62,24.9,65.9,10.71,996.9,9.06,674.34,8.87,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0083,Bengaluru,Karnataka,12.981428,77.596509,EPSG:4326,2025-06-03 00:00:00,10.29,0.47,23.2,93.7,9.85,1019.0,7.9,190.2,7.66,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0084,Mysuru,Karnataka,12.296726,76.647183,EPSG:4326,2025-06-03 00:00:00,22.22,1.11,23.5,62.7,13.83,1019.9,7.22,361.91,7.2,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0085,Chennai,Tamil Nadu,13.073668,80.277389,EPSG:4326,2025-06-03 00:00:00,12.59,0.6,35.0,81.8,13.89,990.3,8.54,819.52,8.68,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0086,Coimbatore,Tamil Nadu,11.017275,76.950159,EPSG:4326,2025-06-03 00:00:00,21.06,2.08,30.2,50.2,8.3,994.7,2.43,50.12,2.26,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0087,Kochi,Kerala,9.932982,76.261839,EPSG:4326,2025-06-03 00:00:00,21.1,1.47,18.0,95.1,4.51,994.8,8.65,645.91,8.94,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0088,Thiruvananthapuram,Kerala,8.533321,76.932786,EPSG:4326,2025-06-03 00:00:00,6.51,0.28,30.3,54.8,1.27,997.9,1.98,158.27,1.69,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0089,Vijayawada,Andhra Pradesh,16.506906,80.652379,EPSG:4326,2025-06-03 00:00:00,18.98,1.94,31.2,88.3,1.12,1011.5,3.38,355.24,3.67,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0090,Visakhapatnam,Andhra Pradesh,17.684915,83.22822,EPSG:4326,2025-06-03 00:00:00,1.62,0.32,15.0,84.3,13.21,1007.4,4.99,182.25,5.1,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0091,Srinagar,Jammu and Kashmir,34.081003,74.796637,EPSG:4326,2025-06-03 00:00:00,17.73,1.31,30.4,79.6,11.4,1017.5,4.89,115.99,5.08,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0092,Shimla,Himachal Pradesh,31.105949,77.182356,EPSG:4326,2025-06-03 00:00:00,10.72,0.88,28.3,87.4,11.88,998.0,4.88,217.2,5.0,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0093,Dehradun,Uttarakhand,30.324958,78.031572,EPSG:4326,2025-06-03 00:00:00,11.9,0.6,22.6,50.0,7.7,992.5,2.48,203.16,2.62,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0094,Gaya,Bihar,24.796684,85.002067,EPSG:4326,2025-06-03 00:00:00,12.14,0.51,31.3,47.4,10.19,1002.3,8.51,1017.3,8.46,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0095,Agra,Uttar Pradesh,27.179349,78.005161,EPSG:4326,2025-06-03 00:00:00,3.68,0.86,12.1,94.3,4.36,1018.0,8.88,214.32,9.0,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0096,Gandhinagar,Gujarat,23.224036,72.637588,EPSG:4326,2025-06-03 00:00:00,5.99,0.4,22.6,87.9,4.06,1009.9,7.61,250.31,7.81,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0097,Delhi,Delhi,28.607434,77.201532,EPSG:4326,2025-06-04 00:00:00,8.18,0.49,28.4,63.7,3.9,1013.6,9.19,196.18,9.0,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0098,Mumbai,Maharashtra,19.066786,72.875706,EPSG:4326,2025-06-04 00:00:00,11.52,0.53,33.7,93.7,11.36,1000.1,4.02,145.55,3.89,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0099,Pune,Maharashtra,18.514863,73.860314,EPSG:4326,2025-06-04 00:00:00,13.67,0.87,32.4,92.7,3.85,1015.1,3.61,230.29,3.48,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0100,Nagpur,Maharashtra,21.140516,79.083005,EPSG:4326,2025-06-04 00:00:00,7.09,0.45,36.0,47.8,11.04,1008.0,10.31,362.28,10.21,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0101,Ahmedabad,Gujarat,23.023345,72.576003,EPSG:4326,2025-06-04 00:00:00,19.3,1.41,25.4,47.2,3.0,1012.1,9.47,255.03,9.33,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0102,Surat,Gujarat,21.167374,72.831079,EPSG:4326,2025-06-04 00:00:00,15.14,0.79,13.6,76.6,8.76,1011.0,6.58,404.74,6.75,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0103,Jaipur,Rajasthan,26.91706,75.784234,EPSG:4326,2025-06-04 00:00:00,4.81,0.24,18.6,50.6,4.35,1006.1,4.15,228.46,4.34,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0104,Lucknow,Uttar Pradesh,26.847354,80.939598,EPSG:4326,2025-06-04 00:00:00,11.37,0.71,28.5,76.5,10.66,990.3,10.06,297.65,10.05,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0105,Varanasi,Uttar Pradesh,25.313216,82.973708,EPSG:4326,2025-06-04 00:00:00,8.04,1.06,15.9,57.4,13.54,1012.7,2.84,259.99,3.09,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0106,Patna,Bihar,25.594892,85.134326,EPSG:4326,2025-06-04 00:00:00,6.47,1.96,26.8,65.1,11.11,1019.6,2.37,248.11,2.32,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0107,Kolkata,West Bengal,22.577484,88.371636,EPSG:4326,2025-06-04 00:00:00,10.64,0.54,25.4,46.6,11.3,999.1,5.28,180.05,5.26,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
