asset_id,asset_type,asset_name,state,district,city_or_village,latitude,longitude,crs,road_class,road_width_m,building_type,building_area_m2,building_height_m,floors,bridge_length_m,railway_flag,school_flag,hospital_flag,government_flag,criticality_level,population_exposed,river_distance_m,floodplain_flag,asset_geometry_wkt,data_source,data_status
IN-ASSET-0017,Bridge,Bridge Asset 0017,Chhattisgarh,Raipur,Raipur,21.243627,81.659359,EPSG:4326,Local Road,0.0,Not Applicable,0.0,0.0,0,323.5,0,0,0,0,Very High,766,2452.0,0,POINT (81.659359 21.243627),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0018,Railway,Railway Asset 0018,Telangana,Hyderabad,Hyderabad,17.377873,78.501047,EPSG:4326,National Highway,0.0,Not Applicable,0.0,0.0,0,0.0,1,0,0,0,High,141,5111.4,0,POINT (78.501047 17.377873),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0019,School,School Asset 0019,Karnataka,Bengaluru,Bengaluru,12.940635,77.562612,EPSG:4326,National Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,1,0,0,High,1411,3203.0,0,POINT (77.562612 12.940635),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0020,Hospital,Hospital Asset 0020,Karnataka,Mysuru,Mysuru,12.27766,76.628442,EPSG:4326,National Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,1,0,Very High,400,1937.2,0,POINT (76.628442 12.277660),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0021,Government Facility,Government Facility Asset 0021,Tamil Nadu,Chennai,Chennai,13.109636,80.267917,EPSG:4326,Local Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,0,1,High,460,2363.7,0,POINT (80.267917 13.109636),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0022,Road,Road Asset 0022,Tamil Nadu,Coimbatore,Coimbatore,11.039055,76.959964,EPSG:4326,Local Road,8.4,Not Applicable,0.0,0.0,0,0.0,0,0,0,0,Medium,759,6951.2,0,POINT (76.959964 11.039055),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0023,Building,Building Asset 0023,Kerala,Kochi,Kochi,9.925459,76.236426,EPSG:4326,Other District Road,0.0,Commercial,1582.6,27.4,9,0.0,0,0,0,0,Low,1164,5249.7,0,POINT (76.236426 9.925459),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0024,Bridge,Bridge Asset 0024,Kerala,Thiruvananthapuram,Thiruvananthapuram,8.513547,76.939477,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,423.2,0,0,0,0,Very High,503,2381.1,0,POINT (76.939477 8.513547),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0025,Railway,Railway Asset 0025,Andhra Pradesh,Vijayawada,Vijayawada,16.510644,80.663063,EPSG:4326,Local Road,0.0,Not Applicable,0.0,0.0,0,0.0,1,0,0,0,High,459,3167.1,0,POINT (80.663063 16.510644),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0026,School,School Asset 0026,Andhra Pradesh,Visakhapatnam,Visakhapatnam,17.702975,83.194775,EPSG:4326,State Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,1,0,0,High,451,7868.5,0,POINT (83.194775 17.702975),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0027,Hospital,Hospital Asset 0027,Madhya Pradesh,Bhopal,Bhopal,23.230456,77.407584,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,1,0,Very High,2490,7292.3,0,POINT (77.407584 23.230456),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0028,Government Facility,Government Facility Asset 0028,Jammu and Kashmir,Srinagar,Srinagar,34.062659,74.764229,EPSG:4326,National Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,0,1,High,312,1949.8,0,POINT (74.764229 34.062659),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0029,Road,Road Asset 0029,Himachal Pradesh,Shimla,Shimla,31.073726,77.143129,EPSG:4326,Local Road,15.6,Not Applicable,0.0,0.0,0,0.0,0,0,0,0,Medium,251,3346.0,0,POINT (77.143129 31.073726),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0030,Building,Building Asset 0030,Uttarakhand,Dehradun,Dehradun,30.299409,78.023906,EPSG:4326,Other District Road,0.0,Public,888.1,15.9,5,0.0,0,0,0,0,Low,865,3253.4,0,POINT (78.023906 30.299409),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0031,Bridge,Bridge Asset 0031,Bihar,Gaya,Gaya,24.769712,84.999372,EPSG:4326,Major District Road,0.0,Not Applicable,0.0,0.0,0,561.6,0,0,0,0,Very High,281,3517.0,0,POINT (84.999372 24.769712),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0032,Railway,Railway Asset 0032,Uttar Pradesh,Agra,Agra,27.195257,78.012695,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,0.0,1,0,0,0,High,225,4669.7,0,POINT (78.012695 27.195257),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0033,School,School Asset 0033,Delhi,Delhi,Delhi,28.635939,77.197595,EPSG:4326,National Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,1,0,0,High,1523,6010.7,0,POINT (77.197595 28.635939),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0034,Hospital,Hospital Asset 0034,Maharashtra,Mumbai,Mumbai,19.081184,72.895315,EPSG:4326,Major District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,1,0,Very High,1966,6877.9,0,POINT (72.895315 19.081184),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0035,Government Facility,Government Facility Asset 0035,Maharashtra,Pune,Pune,18.542905,73.885391,EPSG:4326,Local Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,0,1,High,573,3893.5,0,POINT (73.885391 18.542905),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0036,Road,Road Asset 0036,Maharashtra,Nagpur,Nagpur,21.159699,79.05891,EPSG:4326,Local Road,5.1,Not Applicable,0.0,0.0,0,0.0,0,0,0,0,Medium,752,3976.0,0,POINT (79.058910 21.159699),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0037,Building,Building Asset 0037,Gujarat,Ahmedabad,Ahmedabad,23.013451,72.600949,EPSG:4326,Local Road,0.0,Public,2798.5,27.5,9,0.0,0,0,0,0,Low,159,2319.9,0,POINT (72.600949 23.013451),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0038,Bridge,Bridge Asset 0038,Gujarat,Surat,Surat,21.153679,72.844452,EPSG:4326,Major District Road,0.0,Not Applicable,0.0,0.0,0,480.0,0,0,0,0,Very High,570,276.9,1,POINT (72.844452 21.153679),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0039,Railway,Railway Asset 0039,Rajasthan,Jaipur,Jaipur,26.929535,75.785404,EPSG:4326,State Highway,0.0,Not Applicable,0.0,0.0,0,0.0,1,0,0,0,High,330,483.8,1,POINT (75.785404 26.929535),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0040,School,School Asset 0040,Uttar Pradesh,Lucknow,Lucknow,26.852861,80.963782,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,1,0,0,High,896,3954.2,0,POINT (80.963782 26.852861),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0041,Hospital,Hospital Asset 0041,Uttar Pradesh,Varanasi,Varanasi,25.351155,82.961546,EPSG:4326,State Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,1,0,Very High,2083,6309.7,0,POINT (82.961546 25.351155),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0042,Government Facility,Government Facility Asset 0042,Bihar,Patna,Patna,25.58791,85.136272,EPSG:4326,State Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,0,1,High,405,2584.1,0,POINT (85.136272 25.587910),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0043,Road,Road Asset 0043,West Bengal,Kolkata,Kolkata,22.596787,88.341983,EPSG:4326,Major District Road,4.9,Not Applicable,0.0,0.0,0,0.0,0,0,0,0,Medium,92,1908.1,0,POINT (88.341983 22.596787),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0044,Building,Building Asset 0044,Assam,Guwahati,Guwahati,26.173678,91.765488,EPSG:4326,State Highway,0.0,Residential,1412.4,24.1,8,0.0,0,0,0,0,Low,1096,397.8,1,POINT (91.765488 26.173678),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0045,Bridge,Bridge Asset 0045,Odisha,Bhubaneswar,Bhubaneswar,20.278018,85.796187,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,250.9,0,0,0,0,Very High,583,2429.5,0,POINT (85.796187 20.278018),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0046,Railway,Railway Asset 0046,Jharkhand,Ranchi,Ranchi,23.377741,85.312365,EPSG:4326,State Highway,0.0,Not Applicable,0.0,0.0,0,0.0,1,0,0,0,High,259,64.3,1,POINT (85.312365 23.377741),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0047,School,School Asset 0047,Madhya Pradesh,Bhopal,Bhopal,23.258844,77.446783,EPSG:4326,State Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,1,0,0,High,861,3706.0,0,POINT (77.446783 23.258844),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0048,Hospital,Hospital Asset 0048,Madhya Pradesh,Indore,Indore,22.75201,75.846628,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,1,0,Very High,376,4780.5,0,POINT (75.846628 22.752010),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0049,Government Facility,Government Facility Asset 0049,Chhattisgarh,Raipur,Raipur,21.233772,81.636904,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,0,1,High,735,1544.2,1,POINT (81.636904 21.233772),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0050,Road,Road Asset 0050,Telangana,Hyderabad,Hyderabad,17.417725,78.497253,EPSG:4326,Other District Road,19.1,Not Applicable,0.0,0.0,0,0.0,0,0,0,0,Medium,533,2149.9,0,POINT (78.497253 17.417725),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0051,Building,Building Asset 0051,Karnataka,Bengaluru,Bengaluru,12.971745,77.564321,EPSG:4326,National Highway,0.0,Residential,994.8,44.3,15,0.0,0,0,0,0,Low,1508,1875.2,0,POINT (77.564321 12.971745),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0052,Bridge,Bridge Asset 0052,Karnataka,Mysuru,Mysuru,12.281843,76.648811,EPSG:4326,Local Road,0.0,Not Applicable,0.0,0.0,0,299.4,0,0,0,0,Very High,89,7859.8,0,POINT (76.648811 12.281843),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0053,Railway,Railway Asset 0053,Tamil Nadu,Chennai,Chennai,13.059468,80.268922,EPSG:4326,National Highway,0.0,Not Applicable,0.0,0.0,0,0.0,1,0,0,0,High,89,3500.1,0,POINT (80.268922 13.059468),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0054,School,School Asset 0054,Tamil Nadu,Coimbatore,Coimbatore,11.002571,76.948349,EPSG:4326,National Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,1,0,0,High,818,5220.1,0,POINT (76.948349 11.002571),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0055,Hospital,Hospital Asset 0055,Kerala,Kochi,Kochi,9.962973,76.26569,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,1,0,Very High,291,5693.8,0,POINT (76.265690 9.962973),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0056,Government Facility,Government Facility Asset 0056,Kerala,Thiruvananthapuram,Thiruvananthapuram,8.557073,76.962618,EPSG:4326,National Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,0,1,High,297,7668.9,0,POINT (76.962618 8.557073),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0057,Road,Road Asset 0057,Andhra Pradesh,Vijayawada,Vijayawada,16.501287,80.674102,EPSG:4326,Major District Road,4.2,Not Applicable,0.0,0.0,0,0.0,0,0,0,0,Medium,231,7521.4,0,POINT (80.674102 16.501287),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0058,Building,Building Asset 0058,Andhra Pradesh,Visakhapatnam,Visakhapatnam,17.71009,83.242724,EPSG:4326,Major District Road,0.0,Public,88.5,33.3,11,0.0,0,0,0,0,Low,1530,4539.4,0,POINT (83.242724 17.710090),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0059,Bridge,Bridge Asset 0059,Madhya Pradesh,Bhopal,Bhopal,23.250274,77.399875,EPSG:4326,Major District Road,0.0,Not Applicable,0.0,0.0,0,300.4,0,0,0,0,Very High,105,5727.7,0,POINT (77.399875 23.250274),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0060,Railway,Railway Asset 0060,Jammu and Kashmir,Srinagar,Srinagar,34.09268,74.830026,EPSG:4326,Local Road,0.0,Not Applicable,0.0,0.0,0,0.0,1,0,0,0,High,794,1986.2,0,POINT (74.830026 34.092680),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0061,School,School Asset 0061,Himachal Pradesh,Shimla,Shimla,31.075226,77.200845,EPSG:4326,National Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,1,0,0,High,2056,7587.1,0,POINT (77.200845 31.075226),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0062,Hospital,Hospital Asset 0062,Uttarakhand,Dehradun,Dehradun,30.320422,78.032239,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,1,0,Very High,1239,7421.1,0,POINT (78.032239 30.320422),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0063,Government Facility,Government Facility Asset 0063,Bihar,Gaya,Gaya,24.770286,84.968846,EPSG:4326,Major District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,0,1,High,152,2991.7,0,POINT (84.968846 24.770286),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0064,Road,Road Asset 0064,Uttar Pradesh,Agra,Agra,27.201701,77.974963,EPSG:4326,Local Road,14.6,Not Applicable,0.0,0.0,0,0.0,0,0,0,0,Medium,713,4184.3,0,POINT (77.974963 27.201701),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0065,Building,Building Asset 0065,Delhi,Delhi,Delhi,28.619465,77.232608,EPSG:4326,Local Road,0.0,Industrial,1194.0,34.7,12,0.0,0,0,0,0,Low,930,1952.9,0,POINT (77.232608 28.619465),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0066,Bridge,Bridge Asset 0066,Maharashtra,Mumbai,Mumbai,19.106637,72.906261,EPSG:4326,Local Road,0.0,Not Applicable,0.0,0.0,0,390.7,0,0,0,0,Very High,455,2704.0,0,POINT (72.906261 19.106637),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0067,Railway,Railway Asset 0067,Maharashtra,Pune,Pune,18.508297,73.883459,EPSG:4326,Major District Road,0.0,Not Applicable,0.0,0.0,0,0.0,1,0,0,0,High,234,7675.6,0,POINT (73.883459 18.508297),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0068,School,School Asset 0068,Maharashtra,Nagpur,Nagpur,21.140378,79.070352,EPSG:4326,Major District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,1,0,0,High,278,2687.8,0,POINT (79.070352 21.140378),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0069,Hospital,Hospital Asset 0069,Gujarat,Ahmedabad,Ahmedabad,23.025438,72.577004,EPSG:4326,Major District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,1,0,Very High,190,5768.4,0,POINT (72.577004 23.025438),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0070,Government Facility,Government Facility Asset 0070,Gujarat,Surat,Surat,21.173874,72.831447,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,0,1,High,713,4653.2,0,POINT (72.831447 21.173874),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0071,Road,Road Asset 0071,Rajasthan,Jaipur,Jaipur,26.921425,75.793368,EPSG:4326,State Highway,14.8,Not Applicable,0.0,0.0,0,0.0,0,0,0,0,Medium,401,7844.8,0,POINT (75.793368 26.921425),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0072,Building,Building Asset 0072,Uttar Pradesh,Lucknow,Lucknow,26.820197,80.919008,EPSG:4326,Local Road,0.0,Institutional,580.2,20.7,7,0.0,0,0,0,0,Low,2488,2674.0,0,POINT (80.919008 26.820197),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0073,Bridge,Bridge Asset 0073,Uttar Pradesh,Varanasi,Varanasi,25.349359,82.984947,EPSG:4326,Local Road,0.0,Not Applicable,0.0,0.0,0,353.7,0,0,0,0,Very High,403,1650.3,1,POINT (82.984947 25.349359),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0074,Railway,Railway Asset 0074,Bihar,Patna,Patna,25.592048,85.159227,EPSG:4326,National Highway,0.0,Not Applicable,0.0,0.0,0,0.0,1,0,0,0,High,122,717.5,1,POINT (85.159227 25.592048),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0075,School,School Asset 0075,West Bengal,Kolkata,Kolkata,22.561876,88.395006,EPSG:4326,National Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,1,0,0,High,1694,2176.0,0,POINT (88.395006 22.561876),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0076,Hospital,Hospital Asset 0076,Assam,Guwahati,Guwahati,26.13473,91.715946,EPSG:4326,National Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,1,0,Very High,591,1759.9,1,POINT (91.715946 26.134730),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0077,Government Facility,Government Facility Asset 0077,Odisha,Bhubaneswar,Bhubaneswar,20.320303,85.821439,EPSG:4326,Local Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,0,1,High,160,3880.1,0,POINT (85.821439 20.320303),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0078,Road,Road Asset 0078,Jharkhand,Ranchi,Ranchi,23.342548,85.279342,EPSG:4326,Local Road,11.2,Not Applicable,0.0,0.0,0,0.0,0,0,0,0,Medium,183,4657.9,0,POINT (85.279342 23.342548),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0079,Building,Building Asset 0079,Madhya Pradesh,Bhopal,Bhopal,23.27756,77.405288,EPSG:4326,Local Road,0.0,Industrial,1868.3,18.5,6,0.0,0,0,0,0,Low,1799,6165.5,0,POINT (77.405288 23.277560),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0080,Bridge,Bridge Asset 0080,Madhya Pradesh,Indore,Indore,22.717455,75.887479,EPSG:4326,Major District Road,0.0,Not Applicable,0.0,0.0,0,692.7,0,0,0,0,Very High,710,3884.1,0,POINT (75.887479 22.717455),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0081,Railway,Railway Asset 0081,Chhattisgarh,Raipur,Raipur,21.281143,81.604756,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,0.0,1,0,0,0,High,355,7777.3,0,POINT (81.604756 21.281143),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0082,School,School Asset 0082,Telangana,Hyderabad,Hyderabad,17.419115,78.480306,EPSG:4326,State Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,1,0,0,High,713,2123.6,0,POINT (78.480306 17.419115),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0083,Hospital,Hospital Asset 0083,Karnataka,Bengaluru,Bengaluru,12.955604,77.587505,EPSG:4326,National Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,1,0,Very High,388,159.3,1,POINT (77.587505 12.955604),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0084,Government Facility,Government Facility Asset 0084,Karnataka,Mysuru,Mysuru,12.293893,76.663487,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,0,1,High,631,7511.4,0,POINT (76.663487 12.293893),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
