population_id,state,district,village_or_city,nearest_city,latitude,longitude,crs,population_total,male_population,female_population,households,population_density_per_km2,children_population,elderly_population,settlement_type,river_distance_m,floodplain_flag,elevation_m,estimated_exposed_population,settlement_geometry_wkt,data_source,data_status
IN-POP-0011,West Bengal,Kolkata,Kolkata Settlement 0011,Kolkata,22.595395,88.344413,EPSG:4326,148019,77726,70293,43539,22857.4,29019,13361,Urban Fringe,2353.0,0,667.9,8294,POINT (88.344413 22.595395),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0012,Assam,Guwahati,Guwahati Settlement 0012,Guwahati,26.149199,91.72461,EPSG:4326,22298,11566,10732,5909,9273.3,3502,2035,Village,4062.2,0,242.6,364,POINT (91.724610 26.149199),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0013,Odisha,Bhubaneswar,Bhubaneswar Settlement 0013,Bhubaneswar,20.304118,85.852081,EPSG:4326,9664,4849,4815,2069,11908.3,1735,1053,Village,55.1,1,662.1,2404,POINT (85.852081 20.304118),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0014,Jharkhand,Ranchi,Ranchi Settlement 0014,Ranchi,23.319848,85.300332,EPSG:4326,19974,9727,10247,4187,4707.9,2802,2243,Village,1676.1,1,88.1,11732,POINT (85.300332 23.319848),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0015,Madhya Pradesh,Bhopal,Bhopal Settlement 0015,Bhopal,23.277164,77.38867,EPSG:4326,3947,2081,1866,1057,553.3,619,434,Village,7584.8,0,1165.9,155,POINT (77.388670 23.277164),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0016,Madhya Pradesh,Indore,Indore Settlement 0016,Indore,22.72796,75.832225,EPSG:4326,16861,8039,8822,4273,3031.3,2918,1965,Town,3439.0,0,404.0,17,POINT (75.832225 22.727960),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0017,Chhattisgarh,Raipur,Raipur Settlement 0017,Raipur,21.25047,81.65325,EPSG:4326,20424,9852,10572,4992,4740.7,4322,1615,Village,1372.0,1,319.1,2535,POINT (81.653250 21.250470),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0018,Telangana,Hyderabad,Hyderabad Settlement 0018,Hyderabad,17.378781,78.460904,EPSG:4326,57700,27602,30098,12609,11755.8,9970,5319,Town,5747.1,0,6.7,2618,POINT (78.460904 17.378781),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0019,Karnataka,Bengaluru,Bengaluru Settlement 0019,Bengaluru,12.985825,77.56836,EPSG:4326,130654,64820,65834,37603,13621.9,27301,14028,Town,1210.8,1,989.5,63053,POINT (77.568360 12.985825),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0020,Karnataka,Mysuru,Mysuru Settlement 0020,Mysuru,12.301781,76.618586,EPSG:4326,9265,4405,4860,2342,1666.8,1710,640,Town,524.0,1,712.8,4888,POINT (76.618586 12.301781),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0021,Tamil Nadu,Chennai,Chennai Settlement 0021,Chennai,13.110527,80.267722,EPSG:4326,89110,42468,46642,27349,8656.0,12185,5713,City,5110.2,0,321.6,499,POINT (80.267722 13.110527),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0022,Tamil Nadu,Coimbatore,Coimbatore Settlement 0022,Coimbatore,11.027097,76.927457,EPSG:4326,11775,5638,6137,2964,1123.9,2240,839,Town,484.0,1,594.7,5841,POINT (76.927457 11.027097),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0023,Kerala,Kochi,Kochi Settlement 0023,Kochi,9.915441,76.24771,EPSG:4326,14942,7273,7669,3005,2320.4,3188,1066,Village,1746.4,1,1111.9,10938,POINT (76.247710 9.915441),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0024,Kerala,Thiruvananthapuram,Thiruvananthapuram Settlement 0024,Thiruvananthapuram,8.527706,76.93291,EPSG:4326,16300,8612,7688,4837,1487.4,2503,1725,Village,7448.4,0,230.4,752,POINT (76.932910 8.527706),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0025,Andhra Pradesh,Vijayawada,Vijayawada Settlement 0025,Vijayawada,16.518754,80.638505,EPSG:4326,3068,1482,1586,754,336.5,625,209,Village,1987.5,0,10.1,114,POINT (80.638505 16.518754),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0026,Andhra Pradesh,Visakhapatnam,Visakhapatnam Settlement 0026,Visakhapatnam,17.709929,83.188508,EPSG:4326,14642,7260,7382,4274,4876.2,1992,1699,Village,2566.5,0,698.0,412,POINT (83.188508 17.709929),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0027,Jammu and Kashmir,Srinagar,Srinagar Settlement 0027,Srinagar,34.107016,74.825435,EPSG:4326,22734,11266,11468,6321,2534.3,4158,2440,Village,587.7,1,296.9,11343,POINT (74.825435 34.107016),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0028,Himachal Pradesh,Shimla,Shimla Settlement 0028,Shimla,31.115727,77.147766,EPSG:4326,17363,8860,8503,5183,8002.4,2277,1051,Town,509.3,1,201.5,3252,POINT (77.147766 31.115727),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0029,Uttarakhand,Dehradun,Dehradun Settlement 0029,Dehradun,30.331472,78.032757,EPSG:4326,87917,46327,41590,18348,21093.7,12786,6506,Urban Fringe,1495.0,1,269.6,8663,POINT (78.032757 30.331472),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0030,Bihar,Gaya,Gaya Settlement 0030,Gaya,24.800328,85.008136,EPSG:4326,19756,10329,9427,4208,2361.3,2468,1422,Village,6614.2,0,772.2,1304,POINT (85.008136 24.800328),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0031,Uttar Pradesh,Agra,Agra Settlement 0031,Agra,27.190887,78.035241,EPSG:4326,52773,26125,26648,13331,14716.9,7642,4515,Town,1823.5,0,977.0,301,POINT (78.035241 27.190887),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0032,Delhi,Delhi,Delhi Settlement 0032,Delhi,28.606053,77.223327,EPSG:4326,49516,24452,25064,12083,80619.3,10727,3818,Town,1228.8,1,894.6,32796,POINT (77.223327 28.606053),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0033,Maharashtra,Mumbai,Mumbai Settlement 0033,Mumbai,19.083641,72.857639,EPSG:4326,798,397,401,183,120.6,101,103,Village,2596.3,0,785.3,62,POINT (72.857639 19.083641),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0034,Maharashtra,Pune,Pune Settlement 0034,Pune,18.508553,73.836781,EPSG:4326,82191,43504,38687,16763,76803.9,10119,8393,Town,4314.3,0,1119.8,6270,POINT (73.836781 18.508553),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0035,Maharashtra,Nagpur,Nagpur Settlement 0035,Nagpur,21.119809,79.109562,EPSG:4326,13292,6896,6396,2996,1497.5,1958,1666,Village,5737.9,0,669.6,884,POINT (79.109562 21.119809),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0036,Gujarat,Ahmedabad,Ahmedabad Settlement 0036,Ahmedabad,23.045778,72.547929,EPSG:4326,86181,42079,44102,26912,7519.6,12451,5561,City,5035.2,0,315.2,2381,POINT (72.547929 23.045778),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0037,Gujarat,Surat,Surat Settlement 0037,Surat,21.199613,72.820516,EPSG:4326,13395,6426,6969,3402,1282.2,2822,1561,City,5029.4,0,573.4,272,POINT (72.820516 21.199613),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0038,Rajasthan,Jaipur,Jaipur Settlement 0038,Jaipur,26.904674,75.764508,EPSG:4326,94076,46870,47206,29080,22126.7,13894,6600,Urban Fringe,2873.0,0,754.8,3051,POINT (75.764508 26.904674),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0039,Uttar Pradesh,Lucknow,Lucknow Settlement 0039,Lucknow,26.822394,80.927425,EPSG:4326,66225,33951,32274,20426,30273.6,8708,4707,Town,7934.9,0,348.0,58,POINT (80.927425 26.822394),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0040,Uttar Pradesh,Varanasi,Varanasi Settlement 0040,Varanasi,25.296014,82.986353,EPSG:4326,18831,9019,9812,5288,4090.6,4009,1612,City,6407.6,0,1185.6,417,POINT (82.986353 25.296014),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0041,Bihar,Patna,Patna Settlement 0041,Patna,25.622052,85.131248,EPSG:4326,21224,9986,11238,5838,37538.8,2930,2594,Village,4549.0,0,946.3,1035,POINT (85.131248 25.622052),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0042,West Bengal,Kolkata,Kolkata Settlement 0042,Kolkata,22.588618,88.387784,EPSG:4326,47725,22841,24884,10457,83840.2,10407,3673,Urban Fringe,2157.8,0,880.5,2556,POINT (88.387784 22.588618),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0043,Assam,Guwahati,Guwahati Settlement 0043,Guwahati,26.149332,91.737574,EPSG:4326,10913,5156,5757,2645,13127.2,2286,867,Village,2188.4,0,925.4,260,POINT (91.737574 26.149332),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0044,Odisha,Bhubaneswar,Bhubaneswar Settlement 0044,Bhubaneswar,20.269697,85.830593,EPSG:4326,9493,4943,4550,2572,1278.0,1205,1075,Village,1422.5,1,117.4,6623,POINT (85.830593 20.269697),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0045,Jharkhand,Ranchi,Ranchi Settlement 0045,Ranchi,23.31913,85.288623,EPSG:4326,21306,10325,10981,4902,3839.7,4214,1702,Village,5399.9,0,433.3,1158,POINT (85.288623 23.319130),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0046,Madhya Pradesh,Bhopal,Bhopal Settlement 0046,Bhopal,23.248998,77.402096,EPSG:4326,9076,4484,4592,2386,3056.8,1539,936,Village,6212.3,0,1030.7,161,POINT (77.402096 23.248998),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0047,Madhya Pradesh,Indore,Indore Settlement 0047,Indore,22.698649,75.886148,EPSG:4326,47941,24815,23126,10172,8581.4,6993,5994,Town,6957.6,0,151.9,1770,POINT (75.886148 22.698649),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0048,Chhattisgarh,Raipur,Raipur Settlement 0048,Raipur,21.23756,81.633806,EPSG:4326,6692,3274,3418,1689,950.9,903,578,Village,5414.5,0,851.1,242,POINT (81.633806 21.237560),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0049,Telangana,Hyderabad,Hyderabad Settlement 0049,Hyderabad,17.363619,78.471681,EPSG:4326,815,423,392,192,244.3,146,84,Village,5457.9,0,141.6,17,POINT (78.471681 17.363619),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0050,Karnataka,Bengaluru,Bengaluru Settlement 0050,Bengaluru,12.99514,77.592544,EPSG:4326,6873,3276,3597,1928,6493.6,875,802,Village,6525.0,0,460.3,369,POINT (77.592544 12.995140),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0051,Karnataka,Mysuru,Mysuru Settlement 0051,Mysuru,12.301075,76.658685,EPSG:4326,85841,41486,44355,25514,7768.3,13304,6833,Urban Fringe,6437.9,0,441.7,437,POINT (76.658685 12.301075),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0052,Tamil Nadu,Chennai,Chennai Settlement 0052,Chennai,13.069088,80.245295,EPSG:4326,95878,48349,47529,29789,8193.6,20606,10680,Town,5579.8,0,44.9,5388,POINT (80.245295 13.069088),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0053,Tamil Nadu,Coimbatore,Coimbatore Settlement 0053,Coimbatore,11.032305,76.951404,EPSG:4326,80572,38054,42518,16504,20498.0,16792,4982,Urban Fringe,4198.8,0,262.1,96,POINT (76.951404 11.032305),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0054,Kerala,Kochi,Kochi Settlement 0054,Kochi,9.934725,76.271146,EPSG:4326,23220,11688,11532,5804,2006.8,4082,2166,Village,4932.1,0,574.0,1133,POINT (76.271146 9.934725),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0055,Kerala,Thiruvananthapuram,Thiruvananthapuram Settlement 0055,Thiruvananthapuram,8.546421,76.954759,EPSG:4326,16161,7674,8487,3551,3207.9,3066,1675,Village,5743.9,0,744.5,1155,POINT (76.954759 8.546421),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0056,Andhra Pradesh,Vijayawada,Vijayawada Settlement 0056,Vijayawada,16.514877,80.669359,EPSG:4326,12298,5822,6476,2756,11764.2,2492,1185,Village,6229.4,0,982.4,207,POINT (80.669359 16.514877),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0057,Andhra Pradesh,Visakhapatnam,Visakhapatnam Settlement 0057,Visakhapatnam,17.682237,83.238538,EPSG:4326,20543,9934,10609,4863,2045.6,2711,1871,Village,3876.9,0,449.3,966,POINT (83.238538 17.682237),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0058,Jammu and Kashmir,Srinagar,Srinagar Settlement 0058,Srinagar,34.067153,74.806648,EPSG:4326,134474,64868,69606,32797,11570.5,25593,9603,Town,1277.1,1,774.2,17764,POINT (74.806648 34.067153),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0059,Himachal Pradesh,Shimla,Shimla Settlement 0059,Shimla,31.078524,77.1691,EPSG:4326,112005,57937,54068,24840,14688.5,21129,11360,Urban Fringe,2820.3,0,1028.2,5789,POINT (77.169100 31.078524),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0060,Uttarakhand,Dehradun,Dehradun Settlement 0060,Dehradun,30.334289,78.037535,EPSG:4326,16335,8520,7815,4489,4846.4,2892,1776,Village,4326.3,0,1065.1,268,POINT (78.037535 30.334289),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0061,Bihar,Gaya,Gaya Settlement 0061,Gaya,24.818297,85.007676,EPSG:4326,24434,11996,12438,4975,3290.1,4927,1796,Village,719.0,1,103.5,4068,POINT (85.007676 24.818297),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0062,Uttar Pradesh,Agra,Agra Settlement 0062,Agra,27.195403,77.983546,EPSG:4326,44376,23308,21068,13280,6242.8,7636,2752,Urban Fringe,746.4,1,1031.1,4517,POINT (77.983546 27.195403),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0063,Delhi,Delhi,Delhi Settlement 0063,Delhi,28.607705,77.208273,EPSG:4326,115014,60857,54157,28636,75950.7,20628,7495,City,6490.3,0,24.7,2147,POINT (77.208273 28.607705),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0064,Maharashtra,Mumbai,Mumbai Settlement 0064,Mumbai,19.061112,72.88715,EPSG:4326,72847,37021,35826,16519,6205.9,12868,5637,Urban Fringe,4324.6,0,775.1,566,POINT (72.887150 19.061112),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0065,Maharashtra,Pune,Pune Settlement 0065,Pune,18.525463,73.843355,EPSG:4326,55640,28333,27307,14139,17248.9,10036,5565,City,7165.4,0,1029.5,3695,POINT (73.843355 18.525463),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0066,Maharashtra,Nagpur,Nagpur Settlement 0066,Nagpur,21.151434,79.107227,EPSG:4326,11542,5827,5715,2619,1017.7,1877,1305,Town,6939.4,0,815.0,470,POINT (79.107227 21.151434),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0067,Gujarat,Ahmedabad,Ahmedabad Settlement 0067,Ahmedabad,23.037152,72.56456,EPSG:4326,21941,11553,10388,4538,11246.0,3733,2269,City,418.0,1,609.9,8652,POINT (72.564560 23.037152),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0068,Gujarat,Surat,Surat Settlement 0068,Surat,21.184128,72.837671,EPSG:4326,62123,32380,29743,12910,5477.4,11408,7450,City,3935.2,0,250.4,313,POINT (72.837671 21.184128),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0069,Rajasthan,Jaipur,Jaipur Settlement 0069,Jaipur,26.900538,75.812414,EPSG:4326,74746,35527,39219,15330,8644.3,10194,5733,Town,2943.2,0,1084.2,2127,POINT (75.812414 26.900538),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0070,Uttar Pradesh,Lucknow,Lucknow Settlement 0070,Lucknow,26.819332,80.961077,EPSG:4326,9633,4836,4797,2706,1227.2,1840,1165,Village,5824.5,0,243.6,67,POINT (80.961077 26.819332),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0071,Uttar Pradesh,Varanasi,Varanasi Settlement 0071,Varanasi,25.31833,82.969804,EPSG:4326,44771,23060,21711,10949,15238.9,8261,5186,Town,7307.4,0,400.0,1084,POINT (82.969804 25.318330),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0072,Bihar,Patna,Patna Settlement 0072,Patna,25.614764,85.12763,EPSG:4326,5454,2836,2618,1130,565.8,674,708,Village,6251.5,0,586.6,413,POINT (85.127630 25.614764),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0073,West Bengal,Kolkata,Kolkata Settlement 0073,Kolkata,22.57011,88.369367,EPSG:4326,12682,6620,6062,2611,1732.3,1990,1072,Village,5178.6,0,762.3,469,POINT (88.369367 22.570110),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0074,Assam,Guwahati,Guwahati Settlement 0074,Guwahati,26.158478,91.75898,EPSG:4326,135059,70573,64486,38117,27933.2,17091,11175,City,5154.3,0,258.2,5078,POINT (91.758980 26.158478),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0075,Odisha,Bhubaneswar,Bhubaneswar Settlement 0075,Bhubaneswar,20.323782,85.831622,EPSG:4326,6472,3359,3113,1377,1082.9,1272,717,Village,6532.6,0,72.6,476,POINT (85.831622 20.323782),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0076,Jharkhand,Ranchi,Ranchi Settlement 0076,Ranchi,23.327402,85.326085,EPSG:4326,10736,5520,5216,2909,1723.4,2354,1271,Village,5875.5,0,854.3,517,POINT (85.326085 23.327402),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0077,Madhya Pradesh,Bhopal,Bhopal Settlement 0077,Bhopal,23.266873,77.392157,EPSG:4326,20706,10930,9776,4286,3674.8,2645,1966,City,4469.8,0,658.6,1096,POINT (77.392157 23.266873),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0078,Madhya Pradesh,Indore,Indore Settlement 0078,Indore,22.745473,75.834333,EPSG:4326,125667,61095,64572,32153,35709.6,18023,8472,City,6080.8,0,16.9,8588,POINT (75.834333 22.745473),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0079,Chhattisgarh,Raipur,Raipur Settlement 0079,Raipur,21.239043,81.643294,EPSG:4326,128502,60618,67884,35712,32786.8,21309,14681,Urban Fringe,441.8,1,939.5,57683,POINT (81.643294 21.239043),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0080,Telangana,Hyderabad,Hyderabad Settlement 0080,Hyderabad,17.359636,78.463669,EPSG:4326,14118,7028,7090,3640,1479.2,2751,969,Village,714.9,1,625.2,3305,POINT (78.463669 17.359636),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0081,Karnataka,Bengaluru,Bengaluru Settlement 0081,Bengaluru,12.970561,77.584967,EPSG:4326,23388,11271,12117,7148,2138.5,3775,2734,Village,4404.1,0,702.6,346,POINT (77.584967 12.970561),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0082,Karnataka,Mysuru,Mysuru Settlement 0082,Mysuru,12.292696,76.616182,EPSG:4326,21327,10978,10349,4778,3350.4,3945,2074,Village,2304.3,0,376.6,281,POINT (76.616182 12.292696),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0083,Tamil Nadu,Chennai,Chennai Settlement 0083,Chennai,13.10831,80.242012,EPSG:4326,12196,5949,6247,3087,3153.1,1940,1004,Village,7924.5,0,436.3,465,POINT (80.242012 13.108310),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0084,Tamil Nadu,Coimbatore,Coimbatore Settlement 0084,Coimbatore,11.016793,76.967334,EPSG:4326,99769,49568,50201,19984,9609.7,14411,12744,Town,4433.8,0,1167.2,1938,POINT (76.967334 11.016793),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0085,Kerala,Kochi,Kochi Settlement 0085,Kochi,9.960764,76.261793,EPSG:4326,2836,1454,1382,589,292.9,478,358,Village,545.4,1,49.2,2106,POINT (76.261793 9.960764),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0086,Kerala,Thiruvananthapuram,Thiruvananthapuram Settlement 0086,Thiruvananthapuram,8.53097,76.938454,EPSG:4326,5739,2993,2746,1273,501.7,1012,668,Town,7789.9,0,453.8,30,POINT (76.938454 8.530970),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0087,Andhra Pradesh,Vijayawada,Vijayawada Settlement 0087,Vijayawada,16.485918,80.620714,EPSG:4326,47641,23367,24274,12759,20327.0,8444,5876,Urban Fringe,6932.2,0,974.1,1702,POINT (80.620714 16.485918),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0088,Andhra Pradesh,Visakhapatnam,Visakhapatnam Settlement 0088,Visakhapatnam,17.662708,83.201271,EPSG:4326,2132,1025,1107,553,224.9,425,196,Village,3413.3,0,130.5,117,POINT (83.201271 17.662708),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0089,Jammu and Kashmir,Srinagar,Srinagar Settlement 0089,Srinagar,34.060641,74.772316,EPSG:4326,19784,9451,10333,4237,3367.3,3877,2245,Village,3930.9,0,681.1,913,POINT (74.772316 34.060641),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0090,Himachal Pradesh,Shimla,Shimla Settlement 0090,Shimla,31.10594,77.169867,EPSG:4326,89932,43441,46491,27807,12860.1,11447,10197,City,212.8,1,939.2,38697,POINT (77.169867 31.105940),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0091,Uttarakhand,Dehradun,Dehradun Settlement 0091,Dehradun,30.331247,78.056672,EPSG:4326,20237,9665,10572,4950,8673.9,3194,1234,Village,1967.5,0,173.3,80,POINT (78.056672 30.331247),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0092,Bihar,Gaya,Gaya Settlement 0092,Gaya,24.772469,85.011045,EPSG:4326,20789,9883,10906,4838,3354.4,4255,1995,Village,2767.4,0,498.7,1071,POINT (85.011045 24.772469),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
