dam_id,dam_name,state,river_basin,river_name,nearest_city_or_district,latitude,longitude,crs,year_of_completion,seismic_zone,dam_type,dam_height_m,dam_length_m,dam_volume_content_m3,gross_storage_capacity_m3,reservoir_area_m2,effective_storage_capacity_m3,purpose,designed_spillway_capacity_m3s,dam_status,dam_geometry_wkt,data_status
IND_DAM_0019,Idukki,Kerala,West Coast,Periyar,Kerala,9.8996923,76.9262654,EPSG:4326,1982,V,Concrete/Arch,178.83,464.07,4278393.09,183822129.36,16729651.9,139111404.58,Irrigation,3986.54,Operational,POINT (76.9262654 9.8996923),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0020,Mullaperiyar,Kerala,West Coast,Periyar,Kerala,9.6291839,77.1308139,EPSG:4326,1983,V,Masonry,27.85,1036.12,3718794.3,79450439.91,34046150.88,68372497.11,Irrigation;Hydropower,1295.11,Operational,POINT (77.1308139 9.6291839),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0021,Indira Sagar,Madhya Pradesh,Narmada,Narmada,Madhya Pradesh,22.1997841,76.4825687,EPSG:4326,2010,V,Concrete/Earthfill,50.64,1112.98,5153057.66,72392149.03,10203575.11,66416006.55,Irrigation;Hydropower,524.29,Operational,POINT (76.4825687 22.1997841),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0022,Bargi,Madhya Pradesh,Narmada,Narmada,Madhya Pradesh,22.8912053,79.8353436,EPSG:4326,1932,IV,Concrete,69.33,1147.48,12457842.56,27598273.42,9376871.21,21990471.07,Irrigation;Hydropower,419.67,Under Construction,POINT (79.8353436 22.8912053),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0023,Koyna,Maharashtra,Other,Koyna,Maharashtra,17.3060272,73.7367977,EPSG:4326,1936,IV,Concrete/Gravity,50.62,500.74,2474859.22,646412016.31,248406251.63,496809654.84,Irrigation,2701.78,Operational,POINT (73.7367977 17.3060272),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0024,Jayakwadi,Maharashtra,Godavari,Godavari,Maharashtra,19.6699341,75.4208301,EPSG:4326,1971,IV,Earthfill,56.72,423.14,2492796.41,63285156.37,4544421.79,44672553.77,Drinking Water,1228.25,Operational,POINT (75.4208301 19.6699341),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0025,Khuga,Manipur,Barak,Khuga,Manipur,24.5237639,93.6657822,EPSG:4326,2011,V,Earthfill,32.37,4001.67,7279056.92,29322203.16,2395310.19,27845189.34,Hydropower,1324.14,Operational,POINT (93.6657822 24.5237639),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0026,Umiam,Meghalaya,Brahmaputra,Umiam,Meghalaya,25.6815944,91.9373814,EPSG:4326,2008,II,Concrete,47.52,800.55,5850829.48,333648317.9,38069562.96,280942183.88,Drinking Water,2211.88,Operational,POINT (91.9373814 25.6815944),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0027,Tuirial,Mizoram,Barak,Tuirial,Mizoram,23.8302823,92.7011091,EPSG:4326,1937,IV,Earthfill,59.3,579.54,2613012.36,125781881.25,8866973.9,114276800.83,Irrigation;Hydropower,2209.01,Operational,POINT (92.7011091 23.8302823),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0028,Doyang,Nagaland,Brahmaputra,Doyang,Nagaland,26.1587774,94.2108501,EPSG:4326,1917,III,Earthfill,33.68,1149.28,6089132.16,78221285.27,5342696.02,53802991.05,Drinking Water,1893.11,Under Construction,POINT (94.2108501 26.1587774),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0029,Hirakud,Odisha,Mahanadi,Mahanadi,Odisha,21.4258713,83.7848079,EPSG:4326,1938,IV,Masonry/Earthfill,56.23,1346.47,9908525.44,192992385.25,46047571.81,155502145.99,Irrigation;Hydropower,1792.84,Operational,POINT (83.7848079 21.4258713),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0030,Ranjit Sagar,Punjab,Indus,Ravi,Punjab,32.4879914,75.649727,EPSG:4326,1957,V,Concrete/Gravity,56.85,481.87,4401773.06,129594084.79,21022983.74,108382642.68,Multipurpose,2395.24,Operational,POINT (75.6497270 32.4879914),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0031,Bisalpur,Rajasthan,Ganga,Banas,Rajasthan,25.6750236,75.4889163,EPSG:4326,1900,III,Masonry,39.17,1155.31,5636908.45,63455283.22,13543505.88,55698760.04,Hydropower,1988.6,Operational,POINT (75.4889163 25.6750236),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0032,Rana Pratap Sagar,Rajasthan,Ganga,Chambal,Rajasthan,24.0705407,75.613151,EPSG:4326,2006,III,Concrete,53.74,648.59,1696574.78,143037977.61,16700541.45,106468023.32,Drinking Water,1171.59,Operational,POINT (75.6131510 24.0705407),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0033,Teesta V,Sikkim,Ganga,Teesta,Sikkim,27.0600211,88.8401271,EPSG:4326,1936,II,Concrete,35.93,735.07,4271835.82,107253900.93,51316063.52,72252171.63,Multipurpose,2224.16,Operational,POINT (88.8401271 27.0600211),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0034,Mettur,Tamil Nadu,Cauvery,Cauvery,Tamil Nadu,11.6059072,77.7396008,EPSG:4326,1971,V,Masonry/Concrete,68.99,1571.38,17021312.64,64995696.66,20530780.14,53321205.37,Flood Control,2056.63,Operational,POINT (77.7396008 11.6059072),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0035,Bhavanisagar,Tamil Nadu,Other,Bhavani,Tamil Nadu,11.3900587,77.0998371,EPSG:4326,1920,IV,Earthfill/Concrete,47.01,698.33,2873063.83,37676969.96,5818396.96,32457403.17,Drinking Water,381.17,Under Construction,POINT (77.0998371 11.3900587),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0036,Sathanur,Tamil Nadu,East Coast,Thenpennai,Tamil Nadu,12.18673,78.8701917,EPSG:4326,1933,III,Concrete,75.57,575.39,7780162.87,33889726.62,13427124.43,22227800.16,Drinking Water,996.34,Operational,POINT (78.8701917 12.1867300),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0037,Srisailam Left Bank,Telangana,Krishna,Krishna,Telangana,16.1059848,78.9417504,EPSG:4326,1964,IV,Concrete,60.29,304.34,2562182.12,170442506.99,23449171.28,128339929.71,Irrigation,3441.28,Under Construction,POINT (78.9417504 16.1059848),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0038,Singur,Telangana,Godavari,Manjira,Telangana,17.7663656,77.9831953,EPSG:4326,1997,V,Earthfill,5.0,901.07,782826.83,276326270.61,46427841.48,227602205.68,Flood Control,3575.51,Under Construction,POINT (77.9831953 17.7663656),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0039,Dumbur,Tripura,Ganga,Gomati,Tripura,23.3862232,91.7536643,EPSG:4326,1926,III,Earthfill,9.98,970.45,524380.73,665656964.26,224944332.97,628637741.08,Irrigation;Hydropower,3890.41,Under Construction,POINT (91.7536643 23.3862232),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0040,Rihand,Uttar Pradesh,Ganga,Rihand,Uttar Pradesh,24.1189175,82.8624763,EPSG:4326,1942,III,Concrete/Earthfill,37.81,1408.76,8551121.69,370536621.22,92520114.32,286510877.78,Flood Control,4187.6,Operational,POINT (82.8624763 24.1189175),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0041,Tehri,Uttarakhand,Ganga,Bhagirathi,Uttarakhand,30.3355242,78.5981889,EPSG:4326,1963,IV,Earthfill/Rockfill,78.45,1426.97,9596980.48,295462910.78,22527659.73,209285515.98,Multipurpose,3086.93,Operational,POINT (78.5981889 30.3355242),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0042,Ramganga,Uttarakhand,Ganga,Ramganga,Uttarakhand,29.5671118,78.6669592,EPSG:4326,1938,IV,Concrete,56.91,1469.12,3795604.49,445845159.4,34867876.07,348716607.92,Multipurpose,2354.1,Operational,POINT (78.6669592 29.5671118),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0043,Farakka,West Bengal,Ganga,Ganga,West Bengal,24.8309646,87.9586798,EPSG:4326,1959,IV,Barrages,21.0,432.28,1001821.47,104833710.93,19592237.49,75169292.4,Irrigation,2556.09,Operational,POINT (87.9586798 24.8309646),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0044,Kangsabati,West Bengal,Ganga,Kangsabati,West Bengal,23.1690379,87.1719879,EPSG:4326,1949,IV,Earthfill,13.5,640.69,369894.62,18449269.02,1653315.5,13092729.07,Irrigation;Hydropower,1048.57,Operational,POINT (87.1719879 23.1690379),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0045,Salal,Jammu and Kashmir,Indus,Chenab,Jammu and Kashmir,33.2988313,74.8181691,EPSG:4326,2006,V,Concrete,67.44,670.75,3162218.36,298172284.2,27583796.21,271091608.16,Irrigation,3556.52,Under Construction,POINT (74.8181691 33.2988313),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0046,Baglihar,Jammu and Kashmir,Indus,Chenab,Jammu and Kashmir,33.053929,75.267574,EPSG:4326,1977,IV,Concrete,35.31,1291.98,3455494.21,442309076.18,30468343.49,410610465.95,Multipurpose,3822.69,Operational,POINT (75.2675740 33.0539290),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0047,Nimoo Bazgo,Ladakh,Indus,Indus,Ladakh,34.1593303,77.6788649,EPSG:4326,1965,IV,Concrete,40.69,477.96,3429859.08,510033121.14,179091075.17,423637754.08,Drinking Water,1192.2,Under Construction,POINT (77.6788649 34.1593303),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0048,Polavaram - Prototype Record 48,Andhra Pradesh,Godavari,Godavari,Andhra Pradesh,17.3877371,81.6406713,EPSG:4326,1945,IV,Concrete/Gravity,62.33,1381.3,14743977.66,168036226.2,21167069.96,139842302.04,Drinking Water,2098.94,Under Construction,POINT (81.6406713 17.3877371),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0049,Srisailam - Prototype Record 49,Andhra Pradesh,Krishna,Krishna,Andhra Pradesh,16.0005782,78.9452677,EPSG:4326,2015,II,Masonry/Concrete,74.71,1466.62,16282442.56,131160103.38,10001924.3,117002866.57,Flood Control,3011.01,Operational,POINT (78.9452677 16.0005782),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0050,Nagarjuna Sagar - Prototype Record 50,Andhra Pradesh,Krishna,Krishna,Andhra Pradesh,16.5201523,79.2873093,EPSG:4326,1994,V,Masonry,42.37,2517.06,18745836.18,39682818.26,4712877.59,26882938.12,Hydropower,494.64,Operational,POINT (79.2873093 16.5201523),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0051,Ranganadi - Prototype Record 51,Arunachal Pradesh,Brahmaputra,Ranganadi,Arunachal Pradesh,27.5035806,94.2754293,EPSG:4326,2017,II,Concrete,13.77,574.06,879791.89,18657767.16,2307247.25,17295180.46,Flood Control,908.75,Under Construction,POINT (94.2754293 27.5035806),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0052,Karbi Langpi - Prototype Record 52,Assam,Brahmaputra,Borpani,Assam,25.6009942,92.6221759,EPSG:4326,1969,IV,Concrete,38.97,1795.56,5685427.19,271394372.39,34780554.37,208900082.96,Flood Control,4461.05,Operational,POINT (92.6221759 25.6009942),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0053,Kohira - Prototype Record 53,Bihar,Ganga,Kohira,Bihar,24.9801553,83.4696953,EPSG:4326,1917,III,Earthfill,49.46,293.54,1735574.86,758862665.0,63304396.52,676659920.73,Multipurpose,2250.13,Operational,POINT (83.4696953 24.9801553),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0054,Gangrel - Prototype Record 54,Chhattisgarh,Mahanadi,Mahanadi,Chhattisgarh,20.0503872,81.2250187,EPSG:4326,1975,IV,Masonry,45.53,623.09,3488496.31,142326322.38,13940884.32,93381523.81,Irrigation,2059.49,Under Construction,POINT (81.2250187 20.0503872),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0055,Salaulim - Prototype Record 55,Goa,West Coast,Salaulim,Goa,15.2166361,74.1577741,EPSG:4326,1989,II,Earthfill,59.96,323.38,3193731.44,81598129.55,7905003.91,56426942.24,Flood Control,916.92,Operational,POINT (74.1577741 15.2166361),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0056,Sardar Sarovar - Prototype Record 56,Gujarat,Narmada,Narmada,Gujarat,21.8667673,73.7738758,EPSG:4326,1956,IV,Concrete/Gravity,54.46,425.29,3651306.94,106552247.13,14839966.85,96206494.21,Hydropower,2283.11,Under Construction,POINT (73.7738758 21.8667673),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0057,Ukai - Prototype Record 57,Gujarat,Tapi,Tapi,Gujarat,21.3044245,73.6116007,EPSG:4326,1922,III,Earthfill/Concrete,51.57,487.26,2705086.8,181515236.22,23383845.88,121043603.16,Drinking Water,2674.23,Under Construction,POINT (73.6116007 21.3044245),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0058,Kaushalya - Prototype Record 58,Haryana,Indus,Kaushalya,Haryana,30.5968352,76.9133671,EPSG:4326,2007,IV,Earthfill,57.23,823.4,5147710.36,1153344915.57,249124073.8,1075270616.82,Irrigation,9982.97,Operational,POINT (76.9133671 30.5968352),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0059,Bhakra - Prototype Record 59,Himachal Pradesh,Indus,Sutlej,Himachal Pradesh,31.4652614,76.4807211,EPSG:4326,1935,II,Concrete/Gravity,67.34,1385.71,9227047.46,227551580.54,17175171.55,158656720.29,Irrigation;Hydropower,4514.32,Operational,POINT (76.4807211 31.4652614),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0060,Pong - Prototype Record 60,Himachal Pradesh,Indus,Beas,Himachal Pradesh,31.7809968,76.9904975,EPSG:4326,1998,V,Earthfill,39.39,538.33,1085332.89,274855439.5,87580023.33,179303668.05,Multipurpose,3957.56,Operational,POINT (76.9904975 31.7809968),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0061,Maithon - Prototype Record 61,Jharkhand,Damodar,Barakar,Jharkhand,23.8414893,86.7984579,EPSG:4326,1948,V,Concrete/Earthfill,61.64,2144.8,9373651.36,220972846.55,24508377.57,197359871.28,Hydropower,4308.0,Operational,POINT (86.7984579 23.8414893),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0062,Panchet - Prototype Record 62,Jharkhand,Ganga,Damodar,Jharkhand,23.6648908,86.7619189,EPSG:4326,2023,II,Earthfill/Concrete,39.44,1214.73,8545212.42,113331196.85,16891224.01,105667224.13,Irrigation,2402.21,Operational,POINT (86.7619189 23.6648908),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0063,Almatti - Prototype Record 63,Karnataka,Krishna,Krishna,Karnataka,16.2580408,75.9149952,EPSG:4326,1953,II,Concrete,46.97,394.31,1287180.79,80857610.96,9248531.59,57551010.29,Multipurpose,1646.79,Operational,POINT (75.9149952 16.2580408),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0064,Krishna Raja Sagara - Prototype Record 64,Karnataka,Cauvery,Cauvery,Karnataka,12.4017981,76.5981052,EPSG:4326,2017,III,Masonry,54.07,1518.58,4356175.35,148902414.59,14180524.08,103906085.58,Flood Control,3058.81,Operational,POINT (76.5981052 12.4017981),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0065,Tungabhadra - Prototype Record 65,Karnataka,Krishna,Tungabhadra,Karnataka,15.2131318,76.5685513,EPSG:4326,1903,IV,Masonry,36.18,2353.37,5085616.47,231103941.11,71434516.66,204282443.39,Irrigation,4350.72,Operational,POINT (76.5685513 15.2131318),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0066,Idukki - Prototype Record 66,Kerala,West Coast,Periyar,Kerala,9.9971861,77.0821431,EPSG:4326,1921,II,Concrete/Arch,142.1,355.81,7509389.62,242086340.57,27620047.03,191036244.11,Drinking Water,2088.07,Under Construction,POINT (77.0821431 9.9971861),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0067,Mullaperiyar - Prototype Record 67,Kerala,West Coast,Periyar,Kerala,9.4809114,77.1421893,EPSG:4326,1900,V,Masonry,51.2,1071.92,7657652.52,279748511.68,19134218.7,254556041.44,Flood Control,3702.38,Under Construction,POINT (77.1421893 9.4809114),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0068,Indira Sagar - Prototype Record 68,Madhya Pradesh,Narmada,Narmada,Madhya Pradesh,22.2554819,76.5364586,EPSG:4326,2012,II,Concrete/Earthfill,59.23,714.41,4671249.69,250896427.19,43757797.74,186951824.2,Multipurpose,2919.81,Operational,POINT (76.5364586 22.2554819),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0069,Bargi - Prototype Record 69,Madhya Pradesh,Narmada,Narmada,Madhya Pradesh,22.9348435,79.8502779,EPSG:4326,1997,II,Concrete,48.78,334.09,2441490.25,619028564.01,89835342.59,442250260.86,Irrigation;Hydropower,5833.7,Under Construction,POINT (79.8502779 22.9348435),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0070,Koyna - Prototype Record 70,Maharashtra,Other,Koyna,Maharashtra,17.2613769,73.7703257,EPSG:4326,2020,V,Concrete/Gravity,48.81,915.82,6364268.56,1515371896.24,350159919.81,1185003022.05,Flood Control,6671.46,Under Construction,POINT (73.7703257 17.2613769),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0071,Jayakwadi - Prototype Record 71,Maharashtra,Godavari,Godavari,Maharashtra,19.5905065,75.4125694,EPSG:4326,1914,II,Earthfill,14.44,1028.0,1351663.3,160645098.01,27663630.23,116286141.93,Hydropower,1024.03,Operational,POINT (75.4125694 19.5905065),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0072,Khuga - Prototype Record 72,Manipur,Barak,Khuga,Manipur,24.5237567,93.6850493,EPSG:4326,1905,V,Earthfill,59.11,1746.82,5346825.36,270194033.24,33092838.88,253913448.29,Irrigation,3549.35,Under Construction,POINT (93.6850493 24.5237567),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0073,Umiam - Prototype Record 73,Meghalaya,Brahmaputra,Umiam,Meghalaya,25.6904019,91.7492663,EPSG:4326,2022,II,Concrete,39.56,661.19,1443532.15,68729448.79,5037760.68,45900425.37,Multipurpose,1899.73,Operational,POINT (91.7492663 25.6904019),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0074,Tuirial - Prototype Record 74,Mizoram,Barak,Tuirial,Mizoram,23.847527,92.6595045,EPSG:4326,1944,IV,Earthfill,5.0,945.87,273050.25,99709645.86,7208239.71,84151275.24,Multipurpose,1538.48,Operational,POINT (92.6595045 23.8475270),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
IND_DAM_0075,Doyang - Prototype Record 75,Nagaland,Brahmaputra,Doyang,Nagaland,26.1766645,94.3949124,EPSG:4326,1922,IV,Earthfill,18.63,3544.05,11104381.91,143159879.91,10116707.7,130997363.61,Hydropower,1121.63,Operational,POINT (94.3949124 26.1766645),REAL_NAME/ANCHOR + SYNTHETIC_PROTOTYPE_PARAMETERS
