breach_id,dam_id,dam_name,reservoir_id,river_name,state,district,latitude,longitude,crs,breach_type,failure_mode,breach_location,breach_elevation_m,initial_reservoir_level_m,initial_storage_m3,breach_width_m,breach_depth_m,breach_length_m,breach_side_slope,breach_formation_time_min,breach_formation_rate_m_per_min,failure_start_time,peak_outflow_m3s,time_to_peak_min,breach_outflow_volume_m3,downstream_initial_flow_m3s,dam_height_m,reservoir_area_m2,simulation_duration_hr,scenario_severity,trigger_condition,breach_geometry_wkt,data_source,data_status
IN-B001-011,D001,Tehri,R001,Bhagirathi,Uttarakhand,Tehri Garhwal,30.38,78.48,EPSG:4326,Overtopping,Sudden,Central dam section,126.67,242.68,367948608.4,69.28,133.33,87.69,1.97,51.04,1.3573,2026-08-12 06:00:00,188480.45,20.63,271339072.82,459.49,260,7350629.59,41.9,Low,Heavy Rainfall,"POLYGON((78.479 30.378999999999998,78.48100000000001 30.378999999999998,78.48100000000001 30.381,78.479 30.381,78.479 30.378999999999998))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B001-012,D001,Tehri,R001,Bhagirathi,Uttarakhand,Tehri Garhwal,30.38,78.48,EPSG:4326,Piping,Progressive,Central dam section,195.37,250.09,38472167.46,34.72,64.63,174.41,0.52,162.74,0.2133,2026-08-13 06:00:00,8394.44,93.51,33377387.05,139.96,260,52509488.24,45.0,Medium,Overtopping,"POLYGON((78.479 30.378999999999998,78.48100000000001 30.378999999999998,78.48100000000001 30.381,78.479 30.381,78.479 30.378999999999998))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B001-013,D001,Tehri,R001,Bhagirathi,Uttarakhand,Tehri Garhwal,30.38,78.48,EPSG:4326,Structural Failure,Sudden,Central dam section,191.38,254.98,451826496.21,65.64,68.62,195.94,0.69,171.07,0.3837,2026-08-14 06:00:00,91752.05,78.53,406923312.77,53.34,260,61288987.74,16.1,High,Foundation Failure,"POLYGON((78.479 30.378999999999998,78.48100000000001 30.378999999999998,78.48100000000001 30.381,78.479 30.381,78.479 30.378999999999998))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B001-014,D001,Tehri,R001,Bhagirathi,Uttarakhand,Tehri Garhwal,30.38,78.48,EPSG:4326,Overtopping,Progressive,Central dam section,200.55,251.09,406243106.01,61.09,59.45,153.82,1.54,90.53,0.6747,2026-08-15 06:00:00,180834.59,71.61,346489138.72,481.08,260,44519365.75,15.2,Extreme,Structural Failure,"POLYGON((78.479 30.378999999999998,78.48100000000001 30.378999999999998,78.48100000000001 30.381,78.479 30.381,78.479 30.378999999999998))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B002-001,D002,Sardar Sarovar,R002,Narmada,Gujarat,Narmada,21.83,73.75,EPSG:4326,Overtopping,Sudden,Central dam section,116.63,156.03,170547409.78,45.72,46.37,40.75,1.1,139.8,0.327,2026-08-02 06:00:00,70689.18,86.77,162667706.87,397.13,163,68899084.92,25.7,Extreme,Structural Failure,"POLYGON((73.749 21.828999999999997,73.751 21.828999999999997,73.751 21.831,73.749 21.831,73.749 21.828999999999997))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B002-002,D002,Sardar Sarovar,R002,Narmada,Gujarat,Narmada,21.83,73.75,EPSG:4326,Piping,Progressive,Central dam section,132.67,155.96,393139496.16,25.86,30.33,40.41,1.13,37.6,0.6876,2026-08-03 06:00:00,341362.42,23.66,295718104.83,96.74,163,22174432.2,41.8,Low,Heavy Rainfall,"POLYGON((73.749 21.828999999999997,73.751 21.828999999999997,73.751 21.831,73.749 21.831,73.749 21.828999999999997))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B002-003,D002,Sardar Sarovar,R002,Narmada,Gujarat,Narmada,21.83,73.75,EPSG:4326,Structural Failure,Sudden,Central dam section,105.32,154.52,349843277.35,72.99,57.68,77.76,0.98,70.27,1.0387,2026-08-04 06:00:00,246481.86,33.2,309080791.41,225.3,163,73387326.77,23.2,Medium,Overtopping,"POLYGON((73.749 21.828999999999997,73.751 21.828999999999997,73.751 21.831,73.749 21.831,73.749 21.828999999999997))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B002-004,D002,Sardar Sarovar,R002,Narmada,Gujarat,Narmada,21.83,73.75,EPSG:4326,Overtopping,Progressive,Central dam section,73.45,145.71,98043060.02,14.71,89.55,129.01,1.01,91.95,0.16,2026-08-05 06:00:00,34222.23,55.44,92829247.95,486.53,163,41306766.14,35.3,High,Foundation Failure,"POLYGON((73.749 21.828999999999997,73.751 21.828999999999997,73.751 21.831,73.749 21.831,73.749 21.828999999999997))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B002-005,D002,Sardar Sarovar,R002,Narmada,Gujarat,Narmada,21.83,73.75,EPSG:4326,Piping,Sudden,Central dam section,61.4,147.88,391629016.15,50.89,101.6,43.14,1.97,107.68,0.4726,2026-08-06 06:00:00,183971.74,44.59,268270674.84,85.13,163,46889663.29,24.1,Extreme,Structural Failure,"POLYGON((73.749 21.828999999999997,73.751 21.828999999999997,73.751 21.831,73.749 21.831,73.749 21.828999999999997))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B002-006,D002,Sardar Sarovar,R002,Narmada,Gujarat,Narmada,21.83,73.75,EPSG:4326,Structural Failure,Progressive,Central dam section,113.52,148.66,254731377.35,16.91,49.48,70.82,1.31,98.47,0.1717,2026-08-07 06:00:00,135876.36,56.97,233326954.04,101.33,163,71253833.51,34.3,Low,Heavy Rainfall,"POLYGON((73.749 21.828999999999997,73.751 21.828999999999997,73.751 21.831,73.749 21.831,73.749 21.828999999999997))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B002-007,D002,Sardar Sarovar,R002,Narmada,Gujarat,Narmada,21.83,73.75,EPSG:4326,Overtopping,Sudden,Central dam section,119.74,157.77,39068775.12,70.54,43.26,55.36,1.63,90.33,0.7809,2026-08-08 06:00:00,15885.88,76.28,28402969.03,472.71,163,7259821.37,9.3,Medium,Overtopping,"POLYGON((73.749 21.828999999999997,73.751 21.828999999999997,73.751 21.831,73.749 21.831,73.749 21.828999999999997))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B002-008,D002,Sardar Sarovar,R002,Narmada,Gujarat,Narmada,21.83,73.75,EPSG:4326,Piping,Progressive,Central dam section,132.47,158.07,388858143.14,55.58,30.53,127.53,1.85,60.24,0.9226,2026-08-09 06:00:00,252258.8,38.93,253782277.64,90.04,163,8851455.81,13.6,High,Foundation Failure,"POLYGON((73.749 21.828999999999997,73.751 21.828999999999997,73.751 21.831,73.749 21.831,73.749 21.828999999999997))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B002-009,D002,Sardar Sarovar,R002,Narmada,Gujarat,Narmada,21.83,73.75,EPSG:4326,Structural Failure,Sudden,Central dam section,131.79,153.34,451382391.34,29.36,31.21,118.56,1.52,126.09,0.2328,2026-08-10 06:00:00,162480.95,95.37,358859435.35,153.65,163,71053927.73,21.5,Extreme,Structural Failure,"POLYGON((73.749 21.828999999999997,73.751 21.828999999999997,73.751 21.831,73.749 21.831,73.749 21.828999999999997))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B002-010,D002,Sardar Sarovar,R002,Narmada,Gujarat,Narmada,21.83,73.75,EPSG:4326,Overtopping,Progressive,Central dam section,113.78,153.52,189573702.41,39.38,49.22,86.75,1.07,103.79,0.3794,2026-08-11 06:00:00,78643.43,81.95,132820270.39,363.03,163,17484772.84,45.1,Low,Heavy Rainfall,"POLYGON((73.749 21.828999999999997,73.751 21.828999999999997,73.751 21.831,73.749 21.831,73.749 21.828999999999997))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B002-011,D002,Sardar Sarovar,R002,Narmada,Gujarat,Narmada,21.83,73.75,EPSG:4326,Piping,Sudden,Central dam section,109.52,145.34,465769752.36,36.26,53.48,120.72,1.35,22.82,1.5891,2026-08-12 06:00:00,962571.24,15.11,315571780.2,54.48,163,55560964.41,46.2,Medium,Overtopping,"POLYGON((73.749 21.828999999999997,73.751 21.828999999999997,73.751 21.831,73.749 21.831,73.749 21.828999999999997))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B002-012,D002,Sardar Sarovar,R002,Narmada,Gujarat,Narmada,21.83,73.75,EPSG:4326,Structural Failure,Progressive,Central dam section,138.46,154.95,346312943.06,43.81,24.54,113.66,0.74,152.04,0.2882,2026-08-13 06:00:00,67695.59,114.9,283379565.68,298.57,163,42372762.09,45.5,High,Foundation Failure,"POLYGON((73.749 21.828999999999997,73.751 21.828999999999997,73.751 21.831,73.749 21.831,73.749 21.828999999999997))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B002-013,D002,Sardar Sarovar,R002,Narmada,Gujarat,Narmada,21.83,73.75,EPSG:4326,Overtopping,Sudden,Central dam section,57.94,147.72,67791785.42,60.61,105.06,61.12,0.79,176.64,0.3431,2026-08-14 06:00:00,10709.23,100.36,48973765.55,35.4,163,36156037.23,17.0,Extreme,Structural Failure,"POLYGON((73.749 21.828999999999997,73.751 21.828999999999997,73.751 21.831,73.749 21.831,73.749 21.828999999999997))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B002-014,D002,Sardar Sarovar,R002,Narmada,Gujarat,Narmada,21.83,73.75,EPSG:4326,Piping,Progressive,Central dam section,68.31,147.48,255352883.17,40.94,94.69,64.07,1.89,21.65,1.8912,2026-08-15 06:00:00,390852.75,16.62,201514870.69,180.09,163,6613091.31,18.0,Low,Heavy Rainfall,"POLYGON((73.749 21.828999999999997,73.751 21.828999999999997,73.751 21.831,73.749 21.831,73.749 21.828999999999997))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B003-001,D003,Bhakra,R003,Sutlej,Himachal Pradesh,Bilaspur,31.41,76.43,EPSG:4326,Piping,Sudden,Central dam section,182.7,211.9,376554805.1,77.94,43.3,96.25,0.99,112.61,0.6921,2026-08-02 06:00:00,116212.72,53.9,335384180.81,140.08,226,38953443.95,43.8,Low,Heavy Rainfall,"POLYGON((76.429 31.409,76.43100000000001 31.409,76.43100000000001 31.411,76.429 31.411,76.429 31.409))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B003-002,D003,Bhakra,R003,Sutlej,Himachal Pradesh,Bilaspur,31.41,76.43,EPSG:4326,Structural Failure,Progressive,Central dam section,85.61,216.89,319528845.53,18.62,140.39,145.52,0.64,121.45,0.1533,2026-08-03 06:00:00,148963.93,52.7,243597295.72,60.5,226,73502774.1,39.1,Medium,Overtopping,"POLYGON((76.429 31.409,76.43100000000001 31.409,76.43100000000001 31.411,76.429 31.411,76.429 31.409))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B003-003,D003,Bhakra,R003,Sutlej,Himachal Pradesh,Bilaspur,31.41,76.43,EPSG:4326,Overtopping,Sudden,Central dam section,145.66,218.06,250500090.06,31.33,80.34,101.53,1.67,172.48,0.1816,2026-08-04 06:00:00,61916.46,143.85,218274652.98,188.03,226,19094634.24,22.7,High,Foundation Failure,"POLYGON((76.429 31.409,76.43100000000001 31.409,76.43100000000001 31.411,76.429 31.411,76.429 31.409))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B003-004,D003,Bhakra,R003,Sutlej,Himachal Pradesh,Bilaspur,31.41,76.43,EPSG:4326,Piping,Progressive,Central dam section,96.77,211.18,452316683.56,66.23,129.23,175.31,1.92,159.11,0.4163,2026-08-05 06:00:00,137026.16,104.5,307600212.66,367.47,226,75929752.09,7.3,Extreme,Structural Failure,"POLYGON((76.429 31.409,76.43100000000001 31.409,76.43100000000001 31.411,76.429 31.411,76.429 31.409))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B003-005,D003,Bhakra,R003,Sutlej,Himachal Pradesh,Bilaspur,31.41,76.43,EPSG:4326,Structural Failure,Sudden,Central dam section,154.22,217.98,320390224.19,70.1,71.78,100.01,1.89,166.49,0.4211,2026-08-06 06:00:00,75270.55,97.28,218760926.37,215.31,226,33004405.93,43.2,Low,Heavy Rainfall,"POLYGON((76.429 31.409,76.43100000000001 31.409,76.43100000000001 31.411,76.429 31.411,76.429 31.409))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B003-006,D003,Bhakra,R003,Sutlej,Himachal Pradesh,Bilaspur,31.41,76.43,EPSG:4326,Overtopping,Progressive,Central dam section,155.56,216.67,270585482.61,45.79,70.44,100.39,0.54,129.02,0.3549,2026-08-07 06:00:00,102083.42,60.2,240628451.64,454.52,226,69495145.76,35.7,Medium,Overtopping,"POLYGON((76.429 31.409,76.43100000000001 31.409,76.43100000000001 31.411,76.429 31.411,76.429 31.409))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B003-007,D003,Bhakra,R003,Sutlej,Himachal Pradesh,Bilaspur,31.41,76.43,EPSG:4326,Piping,Sudden,Central dam section,86.08,210.2,442474959.2,100.18,139.92,139.27,1.78,120.62,0.8306,2026-08-08 06:00:00,125217.17,83.72,287635938.05,106.58,226,62588254.91,20.4,High,Foundation Failure,"POLYGON((76.429 31.409,76.43100000000001 31.409,76.43100000000001 31.411,76.429 31.411,76.429 31.409))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B003-008,D003,Bhakra,R003,Sutlej,Himachal Pradesh,Bilaspur,31.41,76.43,EPSG:4326,Structural Failure,Progressive,Central dam section,117.19,221.6,422138187.46,88.58,108.81,178.99,0.83,141.04,0.628,2026-08-09 06:00:00,141067.18,92.86,296727724.47,192.79,226,59838289.84,25.0,Extreme,Structural Failure,"POLYGON((76.429 31.409,76.43100000000001 31.409,76.43100000000001 31.411,76.429 31.411,76.429 31.409))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B003-009,D003,Bhakra,R003,Sutlej,Himachal Pradesh,Bilaspur,31.41,76.43,EPSG:4326,Overtopping,Sudden,Central dam section,80.31,216.81,171743760.18,73.39,145.69,140.33,1.85,30.19,2.431,2026-08-10 06:00:00,232950.72,17.25,153654304.0,239.46,226,67179770.49,15.9,Low,Heavy Rainfall,"POLYGON((76.429 31.409,76.43100000000001 31.409,76.43100000000001 31.411,76.429 31.411,76.429 31.409))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B003-010,D003,Bhakra,R003,Sutlej,Himachal Pradesh,Bilaspur,31.41,76.43,EPSG:4326,Piping,Progressive,Central dam section,113.57,218.55,493964369.66,61.85,112.43,96.28,1.44,107.98,0.5728,2026-08-11 06:00:00,219166.86,93.65,392910171.29,490.82,226,8111103.09,47.5,Medium,Overtopping,"POLYGON((76.429 31.409,76.43100000000001 31.409,76.43100000000001 31.411,76.429 31.411,76.429 31.409))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B003-011,D003,Bhakra,R003,Sutlej,Himachal Pradesh,Bilaspur,31.41,76.43,EPSG:4326,Structural Failure,Sudden,Central dam section,120.01,208.26,132906402.97,78.26,105.99,93.54,0.59,48.51,1.6133,2026-08-12 06:00:00,148872.99,38.84,124528366.48,130.01,226,78179300.93,21.6,High,Foundation Failure,"POLYGON((76.429 31.409,76.43100000000001 31.409,76.43100000000001 31.411,76.429 31.411,76.429 31.409))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B003-012,D003,Bhakra,R003,Sutlej,Himachal Pradesh,Bilaspur,31.41,76.43,EPSG:4326,Overtopping,Progressive,Central dam section,139.96,212.61,85324175.2,31.32,86.04,177.05,0.73,33.73,0.9287,2026-08-13 06:00:00,121039.51,29.4,81188058.48,492.36,226,70394828.77,22.2,Extreme,Structural Failure,"POLYGON((76.429 31.409,76.43100000000001 31.409,76.43100000000001 31.411,76.429 31.411,76.429 31.409))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B003-013,D003,Bhakra,R003,Sutlej,Himachal Pradesh,Bilaspur,31.41,76.43,EPSG:4326,Piping,Sudden,Central dam section,153.08,208.6,220569778.85,57.03,72.92,111.94,1.9,54.25,1.0512,2026-08-14 06:00:00,147175.16,31.13,174050404.63,317.68,226,58713967.53,23.9,Low,Heavy Rainfall,"POLYGON((76.429 31.409,76.43100000000001 31.409,76.43100000000001 31.411,76.429 31.411,76.429 31.409))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B003-014,D003,Bhakra,R003,Sutlej,Himachal Pradesh,Bilaspur,31.41,76.43,EPSG:4326,Structural Failure,Progressive,Central dam section,114.8,213.36,326669612.62,36.67,111.2,68.27,1.09,117.12,0.3131,2026-08-15 06:00:00,102458.31,62.36,297429833.53,360.96,226,55623568.03,46.8,Medium,Overtopping,"POLYGON((76.429 31.409,76.43100000000001 31.409,76.43100000000001 31.411,76.429 31.411,76.429 31.409))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B004-001,D004,Hirakud,R004,Mahanadi,Odisha,Sambalpur,21.53,83.87,EPSG:4326,Structural Failure,Sudden,Central dam section,37.45,49.94,87219319.66,24.9,23.55,39.94,0.83,121.27,0.2053,2026-08-02 06:00:00,29815.48,97.53,77971243.15,97.75,61,8135953.07,10.6,Medium,Overtopping,"POLYGON((83.869 21.529,83.87100000000001 21.529,83.87100000000001 21.531000000000002,83.869 21.531000000000002,83.869 21.529))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B004-002,D004,Hirakud,R004,Mahanadi,Odisha,Sambalpur,21.53,83.87,EPSG:4326,Overtopping,Progressive,Central dam section,20.26,47.38,270846411.73,22.57,40.74,22.8,1.25,33.03,0.6833,2026-08-03 06:00:00,370601.85,26.58,228327858.71,403.08,61,52962993.34,34.8,High,Foundation Failure,"POLYGON((83.869 21.529,83.87100000000001 21.529,83.87100000000001 21.531000000000002,83.869 21.531000000000002,83.869 21.529))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B004-003,D004,Hirakud,R004,Mahanadi,Odisha,Sambalpur,21.53,83.87,EPSG:4326,Piping,Sudden,Central dam section,32.45,57.67,37845540.31,21.5,28.55,25.37,1.7,80.38,0.2675,2026-08-04 06:00:00,19065.1,60.58,29406497.13,244.97,61,67211022.98,39.1,Extreme,Structural Failure,"POLYGON((83.869 21.529,83.87100000000001 21.529,83.87100000000001 21.531000000000002,83.869 21.531000000000002,83.869 21.529))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B004-004,D004,Hirakud,R004,Mahanadi,Odisha,Sambalpur,21.53,83.87,EPSG:4326,Structural Failure,Progressive,Central dam section,23.36,43.45,57444347.26,18.65,37.64,48.04,0.64,117.79,0.1584,2026-08-05 06:00:00,24804.65,60.17,43768349.17,67.18,61,57561063.27,20.7,Low,Heavy Rainfall,"POLYGON((83.869 21.529,83.87100000000001 21.529,83.87100000000001 21.531000000000002,83.869 21.531000000000002,83.869 21.529))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B004-005,D004,Hirakud,R004,Mahanadi,Odisha,Sambalpur,21.53,83.87,EPSG:4326,Overtopping,Sudden,Central dam section,44.65,43.73,142131750.92,8.69,16.35,13.11,0.57,173.49,0.0501,2026-08-06 06:00:00,39577.65,99.72,124104875.58,121.56,61,27792764.2,11.5,Medium,Overtopping,"POLYGON((83.869 21.529,83.87100000000001 21.529,83.87100000000001 21.531000000000002,83.869 21.531000000000002,83.869 21.529))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B004-006,D004,Hirakud,R004,Mahanadi,Odisha,Sambalpur,21.53,83.87,EPSG:4326,Piping,Progressive,Central dam section,51.64,51.66,156759921.16,8.3,9.36,24.59,0.54,85.25,0.0973,2026-08-07 06:00:00,78565.54,51.39,133599658.43,384.4,61,79425448.86,24.5,High,Foundation Failure,"POLYGON((83.869 21.529,83.87100000000001 21.529,83.87100000000001 21.531000000000002,83.869 21.531000000000002,83.869 21.529))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B004-007,D004,Hirakud,R004,Mahanadi,Odisha,Sambalpur,21.53,83.87,EPSG:4326,Structural Failure,Sudden,Central dam section,21.11,54.64,400677206.04,26.1,39.89,17.29,1.96,97.64,0.2673,2026-08-08 06:00:00,203153.83,41.95,317697544.32,188.62,61,52798570.26,28.3,Extreme,Structural Failure,"POLYGON((83.869 21.529,83.87100000000001 21.529,83.87100000000001 21.531000000000002,83.869 21.531000000000002,83.869 21.529))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B004-008,D004,Hirakud,R004,Mahanadi,Odisha,Sambalpur,21.53,83.87,EPSG:4326,Overtopping,Progressive,Central dam section,47.08,52.1,129726530.64,17.75,13.92,46.65,1.07,68.62,0.2587,2026-08-09 06:00:00,66377.62,36.39,103736406.57,418.21,61,67649624.53,31.7,Low,Heavy Rainfall,"POLYGON((83.869 21.529,83.87100000000001 21.529,83.87100000000001 21.531000000000002,83.869 21.531000000000002,83.869 21.529))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
