river_id,river_name,river_basin,state,district,reach_id,latitude,longitude,crs,chainage_km,river_width_m,bankfull_width_m,left_bank_elevation_m,right_bank_elevation_m,bed_elevation_m,thalweg_elevation_m,mean_depth_m,maximum_depth_m,bed_slope,cross_section_area_m2,wetted_perimeter_m,manning_n,bank_material,flow_direction_deg,upstream_dam_id,cross_section_wkt,measurement_timestamp,data_source,data_status
IN-R01,Ganga,Ganga Basin,Uttar Pradesh,Kanpur,IN-01-11,26.457,80.35875,EPSG:4326,15.0,65.15,76.87,154.1,162.24,146.27,143.09,7.71,11.02,0.002467,445.13,87.18,0.042,Sand,115.68,D017,"LINESTRING(80.35375 26.455000000000002,80.35875 26.457,80.36375 26.459)",2026-08-12 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R01,Ganga,Ganga Basin,Uttar Pradesh,Kanpur,IN-01-12,26.459,80.36125,EPSG:4326,16.5,97.51,115.07,198.88,199.67,194.34,192.86,4.21,6.02,0.000427,357.99,109.56,0.036,Clay,83.41,D017,"LINESTRING(80.35625 26.457,80.36125 26.459,80.36625 26.461)",2026-08-13 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R01,Ganga,Ganga Basin,Uttar Pradesh,Kanpur,IN-01-13,26.461,80.36375,EPSG:4326,18.0,114.02,134.54,128.59,128.48,121.33,119.72,6.21,8.88,0.00056,702.44,131.77,0.038,Sand,170.28,D017,"LINESTRING(80.35875 26.459,80.36375 26.461,80.36874999999999 26.462999999999997)",2026-08-14 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R01,Ganga,Ganga Basin,Uttar Pradesh,Kanpur,IN-01-14,26.463,80.36625,EPSG:4326,19.5,86.15,101.65,186.36,189.25,174.42,170.81,10.89,15.55,0.002636,890.68,117.25,0.039,Gravel,303.2,D017,"LINESTRING(80.36125 26.461000000000002,80.36625 26.463,80.37124999999999 26.465)",2026-08-15 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R02,Yamuna,Yamuna Basin,Uttar Pradesh,Prayagraj,IN-02-01,25.427,81.82375,EPSG:4326,0.0,71.45,84.31,178.65,172.79,170.74,169.88,6.14,8.77,0.003858,442.25,88.99,0.029,Alluvium,132.36,D018,"LINESTRING(81.81875000000001 25.425,81.82375 25.427,81.82875 25.429)",2026-08-02 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R02,Yamuna,Yamuna Basin,Uttar Pradesh,Prayagraj,IN-02-02,25.429,81.82625,EPSG:4326,1.5,60.41,71.28,153.18,154.05,146.36,143.81,6.56,9.38,0.002705,380.39,79.16,0.028,Alluvium,284.33,D018,"LINESTRING(81.82125 25.427000000000003,81.82625 25.429000000000002,81.83125 25.431)",2026-08-03 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R02,Yamuna,Yamuna Basin,Uttar Pradesh,Prayagraj,IN-02-03,25.431,81.82875,EPSG:4326,3.0,71.64,84.54,141.63,141.21,131.98,129.95,8.18,11.68,0.003147,562.72,95.01,0.032,Alluvium,347.53,D018,"LINESTRING(81.82375 25.429000000000002,81.82875 25.431,81.83375 25.433)",2026-08-04 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R02,Yamuna,Yamuna Basin,Uttar Pradesh,Prayagraj,IN-02-04,25.433,81.83125,EPSG:4326,4.5,131.75,155.46,252.13,255.89,246.64,244.97,5.02,7.17,0.003836,727.33,146.08,0.044,Alluvium,26.6,D018,"LINESTRING(81.82625 25.431,81.83125 25.433,81.83624999999999 25.435)",2026-08-05 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R02,Yamuna,Yamuna Basin,Uttar Pradesh,Prayagraj,IN-02-05,25.435,81.83375,EPSG:4326,6.0,158.84,187.43,162.41,164.69,155.85,152.84,6.7,9.57,0.003417,1239.65,177.97,0.045,Clay,226.19,D018,"LINESTRING(81.82875000000001 25.433000000000003,81.83375000000001 25.435000000000002,81.83875 25.437)",2026-08-06 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R02,Yamuna,Yamuna Basin,Uttar Pradesh,Prayagraj,IN-02-06,25.437,81.83625,EPSG:4326,7.5,177.3,209.21,189.78,192.31,182.92,181.85,5.55,7.92,0.001901,1074.43,193.14,0.037,Sand,231.09,D018,"LINESTRING(81.83125000000001 25.435000000000002,81.83625 25.437,81.84125 25.439)",2026-08-07 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R02,Yamuna,Yamuna Basin,Uttar Pradesh,Prayagraj,IN-02-07,25.439,81.83875,EPSG:4326,9.0,30.0,35.4,169.51,169.97,164.03,160.92,6.01,8.58,0.003104,214.08,47.17,0.027,Silt,322.34,D018,"LINESTRING(81.83375000000001 25.437,81.83875 25.439,81.84375 25.441)",2026-08-08 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R02,Yamuna,Yamuna Basin,Uttar Pradesh,Prayagraj,IN-02-08,25.441,81.84125,EPSG:4326,10.5,112.66,132.94,154.86,155.52,146.86,146.29,6.0,8.57,0.001156,660.82,129.8,0.043,Sand,211.67,D018,"LINESTRING(81.83625 25.439000000000004,81.84125 25.441000000000003,81.84625 25.443)",2026-08-09 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R02,Yamuna,Yamuna Basin,Uttar Pradesh,Prayagraj,IN-02-09,25.443,81.84375,EPSG:4326,12.0,91.99,108.54,177.52,180.07,166.88,164.51,9.11,13.01,0.001312,869.31,118.01,0.036,Alluvium,199.08,D018,"LINESTRING(81.83875 25.441000000000003,81.84375 25.443,81.84875 25.445)",2026-08-10 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R02,Yamuna,Yamuna Basin,Uttar Pradesh,Prayagraj,IN-02-10,25.445,81.84625,EPSG:4326,13.5,112.18,132.37,152.27,149.62,138.89,136.4,11.11,15.87,0.001538,1328.55,143.92,0.031,Gravel,244.38,D018,"LINESTRING(81.84125 25.443,81.84625 25.445,81.85125 25.447)",2026-08-11 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R02,Yamuna,Yamuna Basin,Uttar Pradesh,Prayagraj,IN-02-11,25.447,81.84875,EPSG:4326,15.0,91.06,107.44,163.01,162.26,148.66,144.68,12.83,18.33,0.000639,1244.36,127.72,0.025,Alluvium,27.49,D018,"LINESTRING(81.84375000000001 25.445000000000004,81.84875000000001 25.447000000000003,81.85375 25.449)",2026-08-12 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R02,Yamuna,Yamuna Basin,Uttar Pradesh,Prayagraj,IN-02-12,25.449,81.85125,EPSG:4326,16.5,161.73,190.84,222.77,217.91,217.83,216.94,4.08,5.83,0.002526,825.11,173.39,0.04,Silt,127.7,D018,"LINESTRING(81.84625000000001 25.447000000000003,81.85125000000001 25.449,81.85625 25.451)",2026-08-13 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R02,Yamuna,Yamuna Basin,Uttar Pradesh,Prayagraj,IN-02-13,25.451,81.85375,EPSG:4326,18.0,132.86,156.77,110.72,106.23,95.87,93.6,11.98,17.11,0.003163,1664.06,167.08,0.038,Gravel,185.38,D018,"LINESTRING(81.84875000000001 25.449,81.85375 25.451,81.85875 25.453)",2026-08-14 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R02,Yamuna,Yamuna Basin,Uttar Pradesh,Prayagraj,IN-02-14,25.453,81.85625,EPSG:4326,19.5,100.58,118.68,150.22,150.91,146.66,142.88,5.14,7.34,0.002975,663.96,115.25,0.034,Sand,212.91,D018,"LINESTRING(81.85125000000001 25.451000000000004,81.85625 25.453000000000003,81.86125 25.455000000000002)",2026-08-15 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R03,Brahmaputra,Brahmaputra Basin,Assam,Guwahati,IN-03-01,26.127,91.72375,EPSG:4326,0.0,113.31,133.7,88.2,80.89,80.27,77.12,7.76,11.08,0.000553,817.65,135.47,0.039,Alluvium,316.68,D019,"LINESTRING(91.71875 26.125,91.72375 26.127,91.72874999999999 26.128999999999998)",2026-08-02 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R03,Brahmaputra,Brahmaputra Basin,Assam,Guwahati,IN-03-02,26.129,91.72625,EPSG:4326,1.5,134.14,158.28,203.32,201.96,191.03,189.07,9.98,14.25,0.003652,1349.82,162.65,0.034,Gravel,268.73,D019,"LINESTRING(91.72125 26.127000000000002,91.72625 26.129,91.73124999999999 26.131)",2026-08-03 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R03,Brahmaputra,Brahmaputra Basin,Assam,Guwahati,IN-03-03,26.131,91.72875,EPSG:4326,3.0,149.94,176.92,201.71,201.85,192.58,189.61,8.47,12.1,0.001409,1492.44,174.13,0.025,Clay,68.24,D019,"LINESTRING(91.72375 26.129,91.72874999999999 26.131,91.73374999999999 26.133)",2026-08-04 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R03,Brahmaputra,Brahmaputra Basin,Assam,Guwahati,IN-03-04,26.133,91.73125,EPSG:4326,4.5,125.78,148.43,127.21,128.34,118.7,118.02,6.43,9.18,0.003383,756.6,144.15,0.035,Silt,318.64,D019,"LINESTRING(91.72625 26.131,91.73124999999999 26.133,91.73624999999998 26.134999999999998)",2026-08-05 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R03,Brahmaputra,Brahmaputra Basin,Assam,Guwahati,IN-03-05,26.135,91.73375,EPSG:4326,6.0,213.63,252.08,178.15,179.22,168.84,168.0,7.11,10.15,0.003382,1356.62,233.93,0.042,Sand,254.37,D019,"LINESTRING(91.72875 26.133000000000003,91.73375 26.135,91.73875 26.137)",2026-08-06 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R03,Brahmaputra,Brahmaputra Basin,Assam,Guwahati,IN-03-06,26.137,91.73625,EPSG:4326,7.5,106.07,125.16,87.94,85.33,79.25,75.63,8.62,12.31,0.001309,1103.67,130.7,0.043,Sand,143.54,D019,"LINESTRING(91.73125 26.135,91.73625 26.137,91.74125 26.139)",2026-08-07 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R03,Brahmaputra,Brahmaputra Basin,Assam,Guwahati,IN-03-07,26.139,91.73875,EPSG:4326,9.0,84.34,99.53,118.17,118.52,105.25,103.12,10.54,15.05,0.003753,1127.76,114.45,0.043,Silt,52.94,D019,"LINESTRING(91.73375 26.137,91.73875 26.139,91.74374999999999 26.141)",2026-08-08 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R03,Brahmaputra,Brahmaputra Basin,Assam,Guwahati,IN-03-08,26.141,91.74125,EPSG:4326,10.5,101.91,120.25,112.0,111.29,102.65,101.44,7.39,10.56,0.003154,697.3,123.02,0.028,Gravel,262.15,D019,"LINESTRING(91.73625 26.139000000000003,91.74125 26.141000000000002,91.74624999999999 26.143)",2026-08-09 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R03,Brahmaputra,Brahmaputra Basin,Assam,Guwahati,IN-03-09,26.143,91.74375,EPSG:4326,12.0,66.29,78.22,134.41,137.06,123.48,121.96,8.71,12.45,0.001217,610.94,91.19,0.035,Silt,60.09,D019,"LINESTRING(91.73875 26.141000000000002,91.74374999999999 26.143,91.74874999999999 26.145)",2026-08-10 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R03,Brahmaputra,Brahmaputra Basin,Assam,Guwahati,IN-03-10,26.145,91.74625,EPSG:4326,13.5,98.53,116.26,142.05,145.38,134.48,130.93,7.79,11.12,0.003976,688.42,120.77,0.029,Clay,134.59,D019,"LINESTRING(91.74125 26.143,91.74624999999999 26.145,91.75124999999998 26.147)",2026-08-11 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R03,Brahmaputra,Brahmaputra Basin,Assam,Guwahati,IN-03-11,26.147,91.74875,EPSG:4326,15.0,136.69,161.29,181.64,189.08,167.1,166.09,10.89,15.55,0.001502,1844.52,167.8,0.03,Gravel,10.87,D019,"LINESTRING(91.74375 26.145000000000003,91.74875 26.147000000000002,91.75375 26.149)",2026-08-12 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R03,Brahmaputra,Brahmaputra Basin,Assam,Guwahati,IN-03-12,26.149,91.75125,EPSG:4326,16.5,119.37,140.86,186.09,183.68,177.88,176.31,6.84,9.78,0.003728,787.34,138.92,0.037,Clay,55.5,D019,"LINESTRING(91.74625 26.147000000000002,91.75125 26.149,91.75625 26.151)",2026-08-13 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R03,Brahmaputra,Brahmaputra Basin,Assam,Guwahati,IN-03-13,26.151,91.75375,EPSG:4326,18.0,105.02,123.92,214.55,218.18,206.99,204.25,7.21,10.29,0.001206,869.83,125.61,0.042,Silt,217.9,D019,"LINESTRING(91.74875 26.149,91.75375 26.151,91.75874999999999 26.153)",2026-08-14 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R03,Brahmaputra,Brahmaputra Basin,Assam,Guwahati,IN-03-14,26.153,91.75625,EPSG:4326,19.5,31.15,36.76,149.24,149.55,145.83,145.14,2.87,4.1,0.001334,101.97,39.35,0.039,Clay,26.94,D019,"LINESTRING(91.75125 26.151000000000003,91.75625 26.153000000000002,91.76124999999999 26.155)",2026-08-15 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R04,Godavari,Godavari Basin,Maharashtra,Nashik,IN-04-01,19.977,73.77375,EPSG:4326,0.0,34.18,40.33,92.3,98.14,78.42,75.51,11.75,16.79,0.0002,412.24,67.76,0.04,Gravel,29.62,D013,"LINESTRING(73.76875000000001 19.974999999999998,73.77375 19.976999999999997,73.77875 19.978999999999996)",2026-08-02 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R04,Godavari,Godavari Basin,Maharashtra,Nashik,IN-04-02,19.979,73.77625,EPSG:4326,1.5,71.13,83.93,154.08,156.63,143.72,140.41,9.57,13.67,0.001005,668.1,98.47,0.032,Silt,21.31,D013,"LINESTRING(73.77125000000001 19.977,73.77625 19.979,73.78125 19.980999999999998)",2026-08-03 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R04,Godavari,Godavari Basin,Maharashtra,Nashik,IN-04-03,19.981,73.77875,EPSG:4326,3.0,91.17,107.58,146.63,154.73,142.74,141.94,3.28,4.69,0.000587,375.95,100.55,0.028,Gravel,108.55,D013,"LINESTRING(73.77375 19.979,73.77875 19.980999999999998,73.78375 19.982999999999997)",2026-08-04 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R04,Godavari,Godavari Basin,Maharashtra,Nashik,IN-04-04,19.983,73.78125,EPSG:4326,4.5,128.65,151.81,176.29,173.53,167.62,164.28,8.41,12.01,0.001233,1157.03,152.67,0.029,Clay,271.8,D013,"LINESTRING(73.77625 19.980999999999998,73.78125 19.982999999999997,73.78625 19.984999999999996)",2026-08-05 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R04,Godavari,Godavari Basin,Maharashtra,Nashik,IN-04-05,19.985,73.78375,EPSG:4326,6.0,69.01,81.43,175.14,187.0,160.58,159.77,10.76,15.37,0.00268,702.59,99.76,0.032,Silt,322.33,D013,"LINESTRING(73.77875000000002 19.983,73.78375000000001 19.985,73.78875000000001 19.987)",2026-08-06 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R04,Godavari,Godavari Basin,Maharashtra,Nashik,IN-04-06,19.987,73.78625,EPSG:4326,7.5,50.7,59.82,120.06,112.67,106.95,104.46,10.92,15.6,0.002117,695.26,81.91,0.03,Alluvium,48.08,D013,"LINESTRING(73.78125000000001 19.985,73.78625000000001 19.987,73.79125 19.988999999999997)",2026-08-07 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R04,Godavari,Godavari Basin,Maharashtra,Nashik,IN-04-07,19.989,73.78875,EPSG:4326,9.0,87.72,103.51,116.06,116.28,108.31,106.4,6.76,9.66,0.00086,678.86,107.04,0.043,Gravel,297.65,D013,"LINESTRING(73.78375000000001 19.987,73.78875000000001 19.988999999999997,73.79375 19.990999999999996)",2026-08-08 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R04,Godavari,Godavari Basin,Maharashtra,Nashik,IN-04-08,19.991,73.79125,EPSG:4326,10.5,87.0,102.66,144.32,143.68,131.24,129.93,10.07,14.39,0.000793,900.86,115.77,0.035,Sand,27.07,D013,"LINESTRING(73.78625000000001 19.989,73.79125 19.991,73.79625 19.993)",2026-08-09 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R04,Godavari,Godavari Basin,Maharashtra,Nashik,IN-04-09,19.993,73.79375,EPSG:4326,12.0,161.78,190.9,156.75,147.48,143.69,142.73,9.81,14.02,0.002171,1767.32,189.82,0.04,Gravel,297.0,D013,"LINESTRING(73.78875000000001 19.991,73.79375 19.993,73.79875 19.994999999999997)",2026-08-10 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R04,Godavari,Godavari Basin,Maharashtra,Nashik,IN-04-10,19.995,73.79625,EPSG:4326,13.5,86.32,101.86,165.33,161.5,161.04,159.97,3.75,5.36,0.001139,398.72,97.05,0.043,Clay,110.19,D013,"LINESTRING(73.79125 19.993,73.79625 19.994999999999997,73.80125 19.996999999999996)",2026-08-11 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R04,Godavari,Godavari Basin,Maharashtra,Nashik,IN-04-11,19.997,73.79875,EPSG:4326,15.0,69.73,82.29,163.33,162.83,159.08,157.08,4.37,6.25,0.001714,365.74,82.23,0.035,Alluvium,77.52,D013,"LINESTRING(73.79375000000002 19.995,73.79875000000001 19.997,73.80375000000001 19.999)",2026-08-12 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R04,Godavari,Godavari Basin,Maharashtra,Nashik,IN-04-12,19.999,73.80125,EPSG:4326,16.5,125.06,147.57,41.1,37.42,31.0,28.59,8.76,12.51,0.002893,992.87,150.08,0.043,Gravel,333.57,D013,"LINESTRING(73.79625000000001 19.997,73.80125000000001 19.999,73.80625 20.000999999999998)",2026-08-13 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R04,Godavari,Godavari Basin,Maharashtra,Nashik,IN-04-13,20.001,73.80375,EPSG:4326,18.0,70.41,83.08,116.65,118.61,102.32,98.4,12.78,18.26,0.003749,880.44,106.92,0.04,Silt,60.29,D013,"LINESTRING(73.79875000000001 19.999,73.80375000000001 20.000999999999998,73.80875 20.002999999999997)",2026-08-14 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R04,Godavari,Godavari Basin,Maharashtra,Nashik,IN-04-14,20.003,73.80625,EPSG:4326,19.5,128.73,151.91,151.14,153.58,141.66,140.77,7.26,10.37,0.002421,1091.36,149.48,0.037,Gravel,305.0,D013,"LINESTRING(73.80125000000001 20.001,73.80625 20.003,73.81125 20.005)",2026-08-15 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R05,Krishna,Krishna Basin,Karnataka,Vijayapura,IN-05-01,16.817,75.69375,EPSG:4326,0.0,96.85,114.28,207.1,207.96,197.6,196.44,7.46,10.66,0.002086,726.85,118.16,0.042,Alluvium,36.76,D020,"LINESTRING(75.68875 16.814999999999998,75.69375 16.816999999999997,75.69874999999999 16.818999999999996)",2026-08-02 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R05,Krishna,Krishna Basin,Karnataka,Vijayapura,IN-05-02,16.819,75.69625,EPSG:4326,1.5,140.94,166.31,86.03,88.86,72.77,70.18,11.1,15.85,0.002061,1490.07,172.65,0.035,Gravel,321.87,D020,"LINESTRING(75.69125 16.817,75.69624999999999 16.819,75.70124999999999 16.820999999999998)",2026-08-03 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R05,Krishna,Krishna Basin,Karnataka,Vijayapura,IN-05-03,16.821,75.69875,EPSG:4326,3.0,94.31,111.28,102.72,98.68,94.68,92.49,7.16,10.23,0.002731,861.54,114.77,0.038,Sand,257.87,D020,"LINESTRING(75.69375 16.819,75.69874999999999 16.820999999999998,75.70374999999999 16.822999999999997)",2026-08-04 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R05,Krishna,Krishna Basin,Karnataka,Vijayapura,IN-05-04,16.823,75.70125,EPSG:4326,4.5,44.46,52.46,148.21,140.64,141.8,140.49,5.4,7.72,0.00033,260.6,59.89,0.028,Gravel,255.01,D020,"LINESTRING(75.69624999999999 16.820999999999998,75.70124999999999 16.822999999999997,75.70624999999998 16.824999999999996)",2026-08-05 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R05,Krishna,Krishna Basin,Karnataka,Vijayapura,IN-05-05,16.825,75.70375,EPSG:4326,6.0,69.83,82.4,151.71,163.58,143.82,141.25,7.32,10.45,0.003464,466.14,90.74,0.03,Silt,161.77,D020,"LINESTRING(75.69875 16.823,75.70375 16.825,75.70875 16.826999999999998)",2026-08-06 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
